,PLAYER_NAME,TEAM_ABBREVIATION,PIE
144,Elton Brand,PHI,0.116
37,Baron Davis,CLE,0.116
133,Drew Gooden,MIL,0.116
321,Monta Ellis,GSW,0.115
358,Raymond Felton,DEN,0.115
47,Brandon Bass,ORL,0.115
393,Shaun Livingston,CHA,0.115
173,Hamed Haddadi,MEM,0.115
41,Beno Udrih,SAC,0.114
407,Steve Novak,SAS,0.114
56,Brook Lopez,NJN,0.114
429,Ty Lawson,DEN,0.114
48,Brandon Jennings,MIL,0.113
297,Marcus Thornton,SAC,0.113
203,Jason Kidd,DAL,0.113
125,Devin Ebanks,LAL,0.112
91,DJ White,CHA,0.112
366,Rodney Stuckey,DET,0.112
370,Ronnie Brewer,CHI,0.112
357,Ray Allen,BOS,0.112
286,Luol Deng,CHI,0.112
107,Darren Collison,IND,0.112
223,Joe Johnson,ATL,0.112
14,Andray Blatche,WAS,0.112
291,Marc Gasol,MEM,0.112
191,Jameer Nelson,ORL,0.111
241,Josh McRoberts,IND,0.111
183,J.J. Barea,DAL,0.111
171,Hakim Warrick,PHX,0.111
89,D.J. Augustin,CHA,0.111
28,Anthony Randolph,MIN,0.11
85,Corey Maggette,MIL,0.11
389,Serge Ibaka,OKC,0.109
423,Tracy McGrady,DET,0.109
431,Tyreke Evans,SAC,0.109
420,Tony Allen,MEM,0.109
199,Jarrett Jack,NOH,0.109
236,Jordan Farmar,NJN,0.108
193,James Harden,OKC,0.108
339,Patrick Patterson,HOU,0.108
169,Greg Monroe,DET,0.108
186,JR Smith,DEN,0.108
316,Mike Conley,MEM,0.108
46,Brandan Wright,NJN,0.108
317,Mike Dunleavy,IND,0.107
13,Anderson Varejao,CLE,0.107
18,Andrei Kirilenko,UTA,0.107
24,Antawn Jamison,CLE,0.107
263,Kyle Lowry,HOU,0.107
373,Roy Hibbert,IND,0.106
184,JJ Hickson,CLE,0.106
82,Chuck Hayes,HOU,0.106
207,Jason Terry,DAL,0.105
244,Jrue Holiday,PHI,0.105
118,Delonte West,BOS,0.105
430,Tyler Hansbrough,IND,0.105
150,Ersan Ilyasova,MIL,0.104
434,Udonis Haslem,MIA,0.104
187,JaVale McGee,WAS,0.104
58,C.J. Watson,CHI,0.104
112,DeJuan Blair,SAS,0.104
284,Luke Ridnour,MIN,0.104
101,Danny Green,SAS,0.103
145,Emeka Okafor,NOH,0.102
301,Marreese Speights,PHI,0.101
411,Tayshaun Prince,DET,0.101
88,Craig Smith,LAC,0.101
392,Shaquille O'Neal,BOS,0.1
383,Samuel Dalembert,SAC,0.1
63,Carlos Delfino,MIL,0.1
44,Boris Diaw,CHA,0.1
80,Chris Wilcox,DET,0.1
404,Stephen Jackson,CHA,0.1
220,Jerryd Bayless,TOR,0.1
188,Jamaal Magloire,MIA,0.1
17,Andrea Bargnani,TOR,0.1
106,Darrell Arthur,MEM,0.099
114,DeMarcus Cousins,SAC,0.099
419,Toney Douglas,NYK,0.099
359,Reggie Evans,TOR,0.099
360,Reggie Williams,GSW,0.099
70,Chase Budinger,HOU,0.099
69,Charlie Villanueva,DET,0.099
214,Jeff Teague,ATL,0.099
140,Ed Davis,TOR,0.098
94,Dahntay Jones,IND,0.098
345,Peja Stojakovic,DAL,0.098
212,Jeff Foster,IND,0.098
99,Danilo Gallinari,DEN,0.098
269,Landry Fields,NYK,0.098
