,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
165,160.0,Klay Thompson,35.0,DAL,SF,46.0,8.0,22.2,4.1,10.6,0.387,2.9,7.7,0.379,1.2,2.9,0.409,0.525,0.5,0.7,0.706,0.3,2.2,2.5,1.4,0.5,0.3,0.9,1.0,11.6,
166,161.0,Julian Champagnie,24.0,SAS,SF,50.0,36.0,28.5,3.7,8.6,0.427,2.5,6.7,0.375,1.2,2.0,0.602,0.572,1.6,1.9,0.844,0.9,5.2,6.1,1.5,0.8,0.4,1.0,1.6,11.5,
167,162.0,Dyson Daniels,22.0,ATL,SG,50.0,50.0,33.8,5.1,10.3,0.497,0.2,1.4,0.127,4.9,8.8,0.557,0.506,1.0,1.7,0.619,2.2,4.3,6.5,6.3,1.9,0.4,2.0,2.2,11.4,
168,163.0,Ace Bailey,19.0,UTA,SF,44.0,33.0,25.4,4.6,10.1,0.454,1.5,4.3,0.349,3.1,5.8,0.531,0.528,0.7,1.0,0.705,1.5,2.2,3.6,1.6,0.8,0.5,1.2,2.5,11.3,
169,164.0,Jock Landale,30.0,MEM,C,45.0,25.0,23.6,4.4,8.6,0.514,1.1,2.9,0.38,3.4,5.8,0.581,0.577,1.3,2.0,0.674,3.1,3.4,6.5,1.7,0.6,0.5,1.0,2.3,11.3,
170,165.0,Sandro Mamukelashvili,26.0,TOR,C,50.0,11.0,22.7,4.2,8.0,0.526,1.3,3.6,0.374,2.9,4.4,0.649,0.61,1.5,2.0,0.755,1.6,3.5,5.1,2.0,0.7,0.6,0.9,2.0,11.3,
171,166.0,Kel'el Ware,21.0,MIA,C,48.0,27.0,22.5,4.5,8.4,0.536,1.2,2.9,0.409,3.4,5.6,0.601,0.605,1.1,1.4,0.783,3.0,6.2,9.2,0.6,0.8,1.1,0.9,1.5,11.3,
172,167.0,Donovan Clingan,21.0,POR,C,47.0,47.0,27.3,4.3,8.3,0.519,0.9,3.0,0.312,3.4,5.3,0.637,0.576,1.6,2.4,0.67,4.6,6.6,11.2,2.0,0.5,1.4,1.0,2.3,11.2,
173,168.0,Moses Moody,23.0,GSW,SG,49.0,38.0,24.5,3.8,8.7,0.435,2.4,5.8,0.407,1.4,2.9,0.49,0.57,1.2,1.6,0.759,0.9,2.3,3.2,1.4,0.9,0.6,0.9,1.9,11.2,
174,169.0,Jusuf Nurkić,31.0,UTA,C,38.0,33.0,26.6,4.5,9.0,0.501,0.6,1.8,0.358,3.9,7.2,0.536,0.537,1.6,2.8,0.561,2.6,7.5,10.2,4.9,1.3,0.5,2.5,3.3,11.2,
175,170.0,Caleb Love,24.0,POR,SG,43.0,1.0,22.3,4.1,10.6,0.391,2.0,6.3,0.321,2.1,4.3,0.495,0.487,0.8,1.1,0.735,0.6,2.1,2.7,2.6,0.6,0.1,1.3,1.1,11.1,
176,171.0,Isaiah Hartenstein,27.0,OKC,C,27.0,26.0,26.2,4.6,7.3,0.638,0.0,0.2,0.0,4.6,7.1,0.654,0.638,1.7,2.5,0.676,3.3,6.7,10.0,3.1,1.0,0.7,2.1,2.9,11.0,
177,172.0,Zaccharie Risacher,20.0,ATL,SF,38.0,38.0,24.5,4.3,9.2,0.463,1.6,4.3,0.358,2.7,4.9,0.557,0.547,0.9,1.4,0.618,0.9,2.5,3.4,1.4,0.9,0.5,0.9,2.2,11.0,
178,173.0,Kevin Huerter,27.0,CHI,SF,44.0,11.0,23.6,4.2,9.2,0.455,1.6,5.1,0.314,2.6,4.1,0.63,0.542,0.9,1.3,0.732,0.5,3.3,3.8,2.6,0.8,0.6,1.1,1.9,10.9,
179,174.0,Aaron Wiggins,27.0,OKC,SG,37.0,14.0,24.0,4.0,8.8,0.452,1.9,4.9,0.394,2.1,3.9,0.524,0.562,0.9,1.2,0.756,0.6,2.9,3.5,1.9,1.0,0.6,1.3,1.5,10.8,
180,175.0,Rudy Gobert,33.0,MIN,C,50.0,50.0,31.3,4.4,6.2,0.706,0.0,0.0,0.0,4.4,6.2,0.711,0.706,2.0,3.9,0.497,3.7,7.6,11.3,1.7,0.7,1.7,1.3,2.7,10.7,
181,176.0,Dylan Harper,19.0,SAS,SG,39.0,0.0,21.4,4.3,9.5,0.454,0.6,2.6,0.248,3.7,6.9,0.531,0.488,1.4,1.9,0.737,0.7,2.6,3.3,3.5,0.9,0.3,1.4,1.9,10.7,
182,177.0,Ausar Thompson,23.0,DET,SF,45.0,44.0,25.6,4.3,8.5,0.512,0.1,0.4,0.3,4.2,8.0,0.524,0.52,1.8,3.1,0.576,2.1,3.8,6.0,2.7,1.8,0.8,1.4,2.8,10.6,
183,178.0,Harrison Barnes,33.0,SAS,PF,50.0,48.0,28.0,3.6,8.2,0.434,1.8,5.0,0.363,1.8,3.2,0.547,0.545,1.5,1.7,0.851,0.8,2.2,3.0,2.1,0.7,0.2,0.9,1.3,10.5,
184,179.0,Egor Dёmin,19.0,BRK,PG,43.0,36.0,24.7,3.5,8.8,0.402,2.5,6.3,0.395,1.0,2.5,0.421,0.544,1.0,1.1,0.857,0.5,2.6,3.1,3.3,0.8,0.3,1.8,1.8,10.5,
185,180.0,Pelle Larsson,24.0,MIA,SG,44.0,31.0,24.2,3.8,7.6,0.495,1.0,2.9,0.333,2.8,4.7,0.594,0.559,2.0,2.6,0.767,0.8,2.5,3.3,3.3,0.7,0.2,1.1,1.8,10.5,
186,181.0,A.J. Green,26.0,MIL,SG,45.0,45.0,29.8,3.4,7.8,0.444,3.0,7.0,0.435,0.4,0.8,0.528,0.639,0.5,0.7,0.774,0.2,2.4,2.6,2.0,0.6,0.1,0.8,2.4,10.4,
187,182.0,Khris Middleton,34.0,WAS,SF,34.0,34.0,24.3,3.8,8.8,0.433,1.0,2.9,0.333,2.9,5.9,0.483,0.488,1.7,2.0,0.841,0.9,3.1,3.9,3.3,0.8,0.3,1.7,2.5,10.3,
188,183.0,Derrick Jones Jr.,28.0,LAC,SF,18.0,13.0,24.1,3.7,6.8,0.545,1.2,3.2,0.386,2.5,3.7,0.682,0.634,1.5,1.9,0.771,0.9,1.7,2.6,1.1,0.7,1.1,0.8,2.0,10.2,
189,184.0,Royce O'Neale,32.0,PHO,SF,51.0,46.0,29.5,3.6,8.5,0.422,2.7,6.8,0.401,0.8,1.6,0.512,0.584,0.4,0.5,0.679,0.7,4.2,4.9,2.9,1.2,0.3,1.5,2.2,10.2,
190,185.0,D'Angelo Russell,29.0,DAL,PG,26.0,3.0,19.0,3.6,8.9,0.405,1.3,4.3,0.295,2.3,4.6,0.508,0.476,1.7,2.3,0.717,0.3,2.0,2.3,4.0,0.5,0.1,1.9,1.2,10.2,
191,186.0,Isaiah Stewart,24.0,DET,C,45.0,11.0,23.4,3.9,7.3,0.535,0.7,2.3,0.324,3.2,5.0,0.631,0.586,1.7,2.2,0.75,1.7,3.7,5.4,1.2,0.3,1.8,1.2,3.0,10.2,
192,187.0,Marvin Bagley III,26.0,WAS,PF,38.0,8.0,19.2,4.1,6.5,0.626,0.2,0.5,0.421,3.8,6.0,0.643,0.642,1.8,2.6,0.711,2.6,3.1,5.7,1.5,0.5,0.7,1.2,2.1,10.1,
193,188.0,Bub Carrington,20.0,WAS,PG,49.0,20.0,28.3,3.4,8.6,0.4,2.1,5.3,0.405,1.3,3.3,0.39,0.524,1.0,1.4,0.75,0.4,3.2,3.7,4.6,0.6,0.2,2.4,2.3,10.1,
194,189.0,Neemias Queta,26.0,BOS,C,48.0,47.0,25.4,4.3,6.7,0.638,0.0,0.1,0.0,4.3,6.6,0.648,0.638,1.6,2.3,0.67,3.0,5.3,8.3,1.5,0.9,1.4,1.0,2.8,10.1,
195,190.0,Jalen Smith,25.0,CHI,C,42.0,11.0,20.1,3.7,7.5,0.486,1.6,4.1,0.386,2.1,3.5,0.603,0.59,1.2,1.6,0.725,1.9,5.0,6.9,1.3,0.4,0.8,1.0,2.0,10.1,
