,Player,Team,G,PTS,AST,TRB,Stocks,eFG%,MP,PER,TS%,USG%,WS,BPM,VORP,Team_Win%,Team_G,Share,Games_Played_PCT,Year
179,Mike Bibby,Miami Heat,80.0,8.6,3.3,2.4,0.7,0.563,2285.0,10.9,0.57,14.6,4.0,-0.9,0.6,0.7073,82.0,0,0.9756,2011
184,Metta World Peace,Los Angeles Lakers,82.0,8.5,2.1,3.3,1.9,0.46,2410.0,11.2,0.485,15.3,4.4,0.2,1.3,0.6951,82.0,0,1.0,2011
191,Anthony Parker,Cleveland Cavaliers,72.0,8.3,3.0,3.0,1.0,0.476,2091.0,10.5,0.505,14.6,1.5,-2.0,0.0,0.2317,82.0,0,0.878,2011
195,Raja Bell,Utah Jazz,68.0,8.0,1.7,2.6,1.0,0.482,2097.0,8.2,0.528,12.6,1.7,-3.1,-0.6,0.4756,82.0,0,0.8293,2011
200,Chuck Hayes,Houston Rockets,74.0,7.9,2.7,8.1,1.8,0.527,2079.0,16.2,0.554,13.0,6.3,1.9,2.1,0.5244,82.0,0,0.9024,2011
201,Jason Kidd,Dallas Mavericks,80.0,7.9,8.2,4.4,2.1,0.472,2653.0,14.4,0.5,14.3,6.4,2.8,3.3,0.6951,82.0,0,0.9756,2011
206,Shane Battier,Memphis Grizzlies,82.0,7.6,2.3,4.5,1.8,0.55,2375.0,12.3,0.567,11.7,5.1,1.4,2.0,0.561,82.0,0,1.0,2011
217,Ryan Gomes,Los Angeles Clippers,76.0,7.2,1.6,3.3,1.0,0.481,2095.0,9.0,0.504,12.7,2.5,-2.1,-0.1,0.3902,82.0,0,0.9268,2011
225,DeAndre Jordan,Los Angeles Clippers,80.0,7.1,0.5,7.2,2.3,0.686,2047.0,14.8,0.648,11.7,5.2,-0.7,0.7,0.3902,82.0,0,0.9756,2011
230,Derek Fisher,Los Angeles Lakers,82.0,6.8,2.7,1.9,1.3,0.449,2297.0,8.9,0.486,12.8,3.7,-2.0,0.0,0.6951,82.0,0,1.0,2011
233,Luc Mbah a Moute,Milwaukee Bucks,79.0,6.7,0.9,5.3,1.3,0.463,2093.0,11.5,0.518,13.1,4.8,-1.3,0.4,0.4268,82.0,0,0.9634,2011
285,Thabo Sefolosha,Oklahoma City Thunder,79.0,5.1,1.4,4.4,1.7,0.514,2049.0,10.4,0.545,9.4,4.1,0.6,1.3,0.6707,82.0,0,0.9634,2011
