,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
97,84.0,Andrew Wiggins,30.0,MIA,SF,55.0,55.0,31.2,6.1,12.8,0.474,2.0,5.0,0.406,4.0,7.7,0.519,0.554,1.9,2.5,0.785,1.8,3.3,5.1,2.8,1.1,1.0,1.6,2.2,16.1,
98,85.0,Paul George,35.0,PHI,PF,27.0,27.0,30.5,5.6,13.1,0.424,2.4,6.4,0.382,3.1,6.7,0.464,0.517,2.4,2.8,0.855,0.5,4.6,5.1,3.7,1.5,0.5,1.6,2.2,16.0,
99,86.0,Jrue Holiday,35.0,POR,PG,33.0,31.0,28.6,6.0,13.1,0.457,2.3,6.3,0.365,3.7,6.8,0.543,0.545,1.8,2.2,0.831,1.5,3.1,4.6,6.2,1.2,0.1,2.9,1.6,16.0,
100,87.0,Domantas Sabonis,29.0,SAC,C,19.0,15.0,29.7,6.3,11.6,0.543,0.3,1.4,0.185,6.1,10.2,0.593,0.554,2.9,4.1,0.727,3.4,8.0,11.4,4.1,0.9,0.2,2.7,3.5,15.8,
101,88.0,Anthony Black,22.0,ORL,PG,58.0,38.0,31.3,5.7,12.5,0.454,1.7,4.8,0.343,4.0,7.7,0.525,0.521,2.7,3.6,0.735,0.7,3.2,3.9,3.9,1.4,0.7,2.2,2.7,15.7,
102,89.0,Mikal Bridges,29.0,NYK,SF,61.0,61.0,34.0,6.3,12.6,0.501,2.1,5.4,0.387,4.2,7.1,0.589,0.585,1.0,1.2,0.829,1.0,3.0,4.1,4.0,1.5,0.8,1.0,2.0,15.7,
103,90.0,Dejounte Murray,29.0,NOP,PG,3.0,3.0,24.3,5.3,11.0,0.485,1.3,4.7,0.286,4.0,6.3,0.632,0.545,3.7,3.7,1.0,0.7,2.7,3.3,5.7,2.0,0.3,4.3,2.3,15.7,
104,91.0,VJ Edgecombe,20.0,PHI,SG,56.0,56.0,35.4,5.7,13.3,0.43,2.1,5.8,0.363,3.6,7.5,0.481,0.509,1.9,2.4,0.805,1.6,4.0,5.6,3.9,1.5,0.5,1.9,3.0,15.5,
105,92.0,Jabari Smith Jr.,22.0,HOU,PF,57.0,57.0,34.8,5.6,12.4,0.455,2.2,6.1,0.368,3.4,6.3,0.541,0.546,2.0,2.6,0.769,1.5,5.4,6.8,1.8,0.8,1.0,1.3,2.5,15.5,
106,93.0,Jarrett Allen,27.0,CLE,C,50.0,50.0,27.7,6.0,9.5,0.637,0.0,0.2,0.1,6.0,9.3,0.649,0.638,3.3,4.5,0.731,2.6,5.9,8.6,1.9,1.0,0.9,1.4,1.8,15.4,
107,94.0,Matas Buzelis,21.0,CHI,PF,61.0,61.0,28.6,5.5,11.7,0.471,2.1,5.8,0.366,3.4,5.9,0.575,0.562,2.3,2.9,0.775,1.0,4.5,5.5,2.1,0.7,1.5,2.0,2.4,15.4,
108,95.0,Naji Marshall,28.0,DAL,SF,58.0,34.0,29.8,5.7,10.7,0.531,0.8,2.9,0.295,4.8,7.8,0.617,0.57,3.2,4.2,0.76,0.9,4.1,4.9,3.1,1.1,0.1,1.5,1.9,15.4,
109,96.0,Cam Thomas,24.0,2TM,SG,33.0,8.0,22.8,5.1,12.4,0.409,1.4,4.5,0.313,3.6,7.8,0.465,0.467,3.7,4.3,0.846,0.3,1.5,1.9,2.7,0.1,0.1,1.8,1.1,15.2,
110,96.0,Cam Thomas,24.0,BRK,SG,24.0,8.0,24.3,5.1,12.8,0.399,1.6,4.9,0.325,3.5,8.0,0.445,0.461,3.8,4.5,0.843,0.4,1.4,1.8,3.1,0.2,0.1,2.0,1.3,15.6,
111,96.0,Cam Thomas,24.0,MIL,SG,9.0,0.0,19.0,4.9,11.1,0.44,1.0,3.7,0.273,3.9,7.4,0.522,0.485,3.3,3.9,0.857,0.2,1.9,2.1,1.7,0.0,0.1,1.4,0.7,14.1,
112,97.0,Jaden McDaniels,25.0,MIN,PF,59.0,59.0,32.3,5.8,11.0,0.522,1.5,3.4,0.443,4.3,7.6,0.558,0.591,2.2,2.5,0.847,1.1,3.3,4.4,2.9,1.1,1.1,1.8,3.4,15.2,
113,98.0,Russell Westbrook,37.0,SAC,SF,57.0,51.0,28.8,5.7,13.2,0.43,2.0,6.0,0.334,3.7,7.2,0.509,0.505,1.9,2.7,0.708,1.3,4.1,5.4,6.3,1.2,0.2,3.4,2.4,15.2,
