,Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
14,15.0,Bob Dandridge,27.0,MIL,SF,80.0,,3031.0,16.7,0.506,0.179,5.1,13.6,9.5,12.5,1.9,0.8,3.8,3.2,7.0,0.111,0.6,0.0,0.6,2.0,AS
15,16.0,Randy Smith,26.0,BUF,SG,82.0,,3001.0,17.1,0.523,0.234,3.4,8.1,5.8,25.5,2.0,0.0,5.0,2.3,7.2,0.116,0.9,-0.5,0.5,1.9,
16,17.0,Bob Lanier,26.0,DET,C,76.0,,2987.0,24.4,0.559,0.314,8.4,25.1,16.8,19.9,1.2,3.1,8.6,3.8,12.4,0.199,4.9,1.2,6.1,6.1,"MVP-13,AS"
17,18.0,Wes Unseld,28.0,WSB,C,73.0,,2904.0,15.0,0.538,0.338,11.0,26.2,18.6,12.7,1.8,1.3,4.0,6.6,10.6,0.175,1.7,2.3,4.0,4.4,"MVP-9,AS"
18,19.0,Phil Chenier,24.0,WSB,SG,77.0,,2869.0,17.7,0.496,0.238,2.6,7.6,5.1,13.2,2.8,1.1,3.9,4.9,8.8,0.147,1.4,1.5,2.9,3.5,"MVP-8,AS,NBA2"
19,20.0,Billy Cunningham,31.0,PHI,SF,80.0,73.0,2859.0,19.2,0.483,0.312,4.6,21.3,12.9,24.7,1.5,0.6,2.7,3.5,6.1,0.103,1.9,0.4,2.2,3.1,
20,21.0,Pete Maravich,27.0,NOJ,SG,79.0,,2853.0,18.3,0.479,0.308,3.2,11.9,7.4,28.2,1.8,0.3,1.8,2.1,3.9,0.066,1.3,-0.9,0.4,1.8,
21,22.0,Tom Van Arsdale,31.0,2TM,SF,82.0,6.0,2843.0,13.8,0.48,0.306,2.5,7.3,4.8,12.0,1.5,0.1,3.1,1.2,4.4,0.074,-0.6,-1.2,-1.8,0.2,
22,22.0,Tom Van Arsdale,31.0,PHI,SF,9.0,6.0,273.0,12.7,0.47,0.353,2.6,8.2,5.4,8.9,2.2,0.0,0.1,0.2,0.3,0.051,-2.1,0.0,-2.1,0.0,
23,22.0,Tom Van Arsdale,31.0,ATL,SF,73.0,,2570.0,13.9,0.481,0.302,2.5,7.2,4.7,12.3,1.4,0.1,3.1,1.0,4.1,0.076,-0.5,-1.3,-1.7,0.2,
24,23.0,Dennis Awtrey,26.0,PHO,C,82.0,,2837.0,13.5,0.501,0.27,8.6,17.0,12.8,16.4,1.0,1.0,2.7,2.4,5.2,0.087,0.6,0.2,0.8,2.0,
25,24.0,Doug Collins,23.0,PHI,SG,81.0,76.0,2820.0,16.4,0.549,0.341,3.7,7.7,5.7,11.8,1.8,0.3,5.7,2.0,7.7,0.131,0.4,0.0,0.5,1.8,
26,25.0,Earl Monroe,30.0,NYK,SG,78.0,,2814.0,17.7,0.504,0.246,2.0,10.2,6.1,15.6,1.8,0.6,4.4,2.2,6.6,0.113,1.8,-0.3,1.5,2.5,"MVP-16,AS"
27,26.0,John Gianelli,24.0,NYK,C,80.0,,2797.0,12.4,0.506,0.269,7.9,18.0,12.9,8.0,0.6,2.3,2.7,2.7,5.5,0.094,-0.2,0.3,0.1,1.5,
28,27.0,Curtis Rowe,25.0,DET,PF,82.0,,2787.0,13.0,0.521,0.26,6.9,16.1,11.5,6.4,0.9,0.9,3.6,1.6,5.2,0.09,0.1,-1.3,-1.2,0.6,
29,28.0,Bill Bradley,31.0,NYK,SF,79.0,,2787.0,11.1,0.473,0.159,2.4,7.1,4.7,12.9,1.2,0.3,1.4,1.4,2.8,0.048,-1.6,-0.7,-2.3,-0.2,
30,29.0,Nate Thurmond,33.0,CHI,C,80.0,,2756.0,13.4,0.403,0.327,10.0,24.5,17.3,16.9,0.8,4.0,-0.8,5.4,4.7,0.081,-0.9,2.4,1.5,2.4,
31,30.0,Kareem Abdul-Jabbar,27.0,MIL,C,65.0,,2747.0,26.4,0.55,0.269,7.6,26.4,17.3,16.7,1.1,4.0,8.1,4.8,12.9,0.225,5.8,1.8,7.6,6.7,"MVP-5,AS,DEF1"
32,31.0,Mike Newlin,26.0,HOU,SG,79.0,,2709.0,15.1,0.547,0.337,2.3,8.5,5.4,20.9,1.9,0.1,4.4,1.5,5.9,0.105,-0.1,-0.4,-0.5,1.0,
33,32.0,Jim Cleamons,25.0,CLE,PG,74.0,,2691.0,13.8,0.52,0.236,3.8,9.2,6.5,19.7,1.5,0.4,3.5,2.0,5.5,0.097,0.2,0.1,0.3,1.6,
34,33.0,Curtis Perry,26.0,PHO,PF,79.0,,2688.0,17.1,0.514,0.279,13.1,23.0,18.0,10.0,1.8,1.6,3.8,3.7,7.6,0.135,1.2,0.3,1.4,2.3,
35,34.0,Fred Brown,26.0,SEA,SG,81.0,,2669.0,19.8,0.513,0.177,4.3,8.9,6.6,17.7,3.2,0.3,5.0,2.9,7.9,0.142,2.4,0.6,3.0,3.4,MVP-21
36,35.0,Gail Goodrich,31.0,LAL,SG,72.0,,2668.0,18.4,0.511,0.265,3.5,4.4,3.9,25.7,1.7,0.1,4.9,0.6,5.5,0.099,2.0,-1.7,0.2,1.5,AS
37,36.0,Paul Silas,31.0,BOS,PF,82.0,,2661.0,14.6,0.482,0.459,13.1,25.1,19.2,10.6,1.0,0.4,2.9,4.3,7.2,0.13,0.5,0.1,0.6,1.7,"AS,DEF1"
38,37.0,Bingo Smith,28.0,CLE,SF,82.0,,2636.0,15.9,0.508,0.132,4.3,12.1,8.2,13.7,1.5,0.5,3.8,2.3,6.1,0.112,1.1,-0.3,0.8,1.8,
39,38.0,Dave Cowens,26.0,BOS,C,65.0,,2632.0,19.3,0.509,0.204,8.7,27.3,18.1,16.3,1.5,1.4,4.3,5.2,9.5,0.173,2.2,1.5,3.8,3.9,"MVP-2,AS,NBA2,DEF2"
40,39.0,Charlie Scott,26.0,PHO,PG,69.0,,2592.0,17.7,0.48,0.22,2.8,8.1,5.4,20.6,2.0,0.5,2.7,1.9,4.7,0.086,0.7,-0.8,0.0,1.3,AS
41,40.0,Dick Snyder,30.0,CLE,SG,82.0,,2590.0,15.1,0.541,0.197,1.5,8.3,4.9,16.3,1.3,0.9,4.6,1.8,6.4,0.118,0.7,0.0,0.7,1.8,
42,41.0,Norm Van Lier,27.0,CHI,PG,70.0,,2590.0,15.5,0.477,0.307,3.5,9.8,6.7,24.3,2.6,0.3,1.8,3.8,5.6,0.104,-0.5,0.8,0.2,1.5,"MVP-11,DEF2"
43,42.0,Kevin Porter,24.0,WSB,PG,81.0,,2589.0,16.0,0.519,0.225,2.1,3.8,2.9,33.9,2.7,0.2,2.7,3.8,6.5,0.12,0.1,0.6,0.7,1.8,
44,43.0,Jerry Sloan,32.0,CHI,SG,78.0,,2577.0,14.4,0.487,0.298,7.3,14.7,11.0,9.6,3.2,0.4,2.2,4.7,7.0,0.13,-0.6,1.8,1.2,2.1,DEF1
45,44.0,Ed Ratleff,24.0,HOU,SF,80.0,,2563.0,14.9,0.503,0.223,8.0,12.0,10.0,14.1,2.7,1.1,3.1,2.5,5.6,0.105,1.0,0.7,1.7,2.4,
46,45.0,Scott Wedman,22.0,KCO,SF,80.0,,2554.0,12.0,0.505,0.211,8.2,11.7,10.0,7.4,1.5,0.6,2.5,2.3,4.8,0.091,-0.7,-0.5,-1.2,0.5,ROY-3
47,46.0,John Johnson,27.0,POR,SF,80.0,,2540.0,16.7,0.531,0.278,7.0,13.4,10.3,14.5,1.4,0.8,4.0,2.2,6.2,0.116,1.4,-0.8,0.6,1.7,
48,47.0,Spencer Haywood,25.0,SEA,PF,68.0,,2529.0,19.0,0.511,0.288,8.0,17.6,12.8,8.5,1.0,2.2,4.6,2.6,7.3,0.138,2.2,-1.0,1.3,2.1,"MVP-13,AS,NBA2"
49,48.0,Butch Beard,27.0,GSW,PG,82.0,,2521.0,16.1,0.585,0.361,4.5,7.8,6.1,17.6,2.3,0.2,5.6,2.0,7.6,0.144,0.6,0.3,0.9,1.8,
50,49.0,Clifford Ray,26.0,GSW,C,82.0,,2519.0,15.0,0.551,0.496,10.0,23.8,16.8,8.6,1.7,2.4,3.0,3.7,6.7,0.128,0.1,0.8,0.9,1.8,
51,50.0,Cornell Warner,26.0,MIL,PF,79.0,,2519.0,11.4,0.494,0.287,10.2,23.0,16.8,6.5,0.9,1.1,1.6,3.1,4.7,0.09,-1.0,0.0,-1.1,0.6,
52,51.0,Jamaal Wilkes,21.0,GSW,SF,82.0,,2515.0,15.3,0.473,0.192,7.8,18.2,13.0,9.8,1.9,0.5,2.3,2.8,5.1,0.097,0.1,-0.9,-0.8,0.8,ROY-1
53,52.0,Calvin Murphy,26.0,HOU,PG,78.0,,2513.0,18.9,0.55,0.335,2.3,5.4,3.8,23.3,2.4,0.1,6.0,1.4,7.4,0.141,1.5,-0.7,0.8,1.7,
54,53.0,Archie Clark,33.0,SEA,PG,77.0,,2481.0,16.2,0.533,0.21,2.4,7.3,4.9,25.2,2.0,0.1,4.5,1.7,6.2,0.119,0.9,-0.4,0.5,1.6,
55,54.0,Clyde Lee,30.0,2TM,PF,80.0,35.0,2456.0,9.3,0.466,0.415,11.7,19.6,15.6,5.6,0.6,0.4,1.1,2.1,3.2,0.063,-2.0,-0.6,-2.6,-0.3,
56,54.0,Clyde Lee,30.0,ATL,PF,9.0,,177.0,13.6,0.527,1.083,12.5,26.9,19.3,5.7,0.3,1.2,0.3,0.2,0.4,0.115,-1.6,-0.6,-2.2,0.0,
57,54.0,Clyde Lee,30.0,PHI,C,71.0,35.0,2279.0,8.9,0.459,0.353,11.6,19.0,15.3,5.5,0.6,0.4,0.8,1.9,2.8,0.059,-2.0,-0.6,-2.6,-0.3,
58,55.0,Chet Walker,34.0,CHI,SF,76.0,,2452.0,19.5,0.568,0.446,4.9,13.6,9.3,11.8,1.0,0.1,7.6,2.9,10.5,0.205,3.2,-0.7,2.5,2.8,MVP-16
59,56.0,Jim Chones,25.0,CLE,C,72.0,,2427.0,16.1,0.515,0.245,6.8,22.8,14.8,8.1,1.0,2.7,2.8,3.5,6.2,0.123,0.2,0.5,0.8,1.7,MVP-20
60,57.0,Dick Van Arsdale,31.0,PHO,SG,70.0,,2419.0,14.3,0.538,0.379,2.2,5.9,4.0,11.9,1.5,0.2,4.6,1.2,5.9,0.116,0.0,-0.5,-0.5,0.9,
61,58.0,Bob Love,32.0,CHI,PF,61.0,,2401.0,15.0,0.481,0.253,4.4,12.5,8.4,7.4,1.3,0.3,2.2,2.9,5.2,0.103,-0.2,-1.3,-1.5,0.3,"MVP-19,DEF2"
62,59.0,Larry Steele,25.0,POR,SG,76.0,,2389.0,13.1,0.595,0.302,4.0,5.9,5.0,16.1,3.5,0.4,3.1,2.6,5.7,0.114,-0.8,2.3,1.5,2.1,
63,60.0,Lucius Allen,27.0,2TM,PG,66.0,,2353.0,17.5,0.483,0.262,3.7,7.6,5.7,24.6,2.6,0.6,2.0,1.7,3.6,0.074,0.6,-0.2,0.4,1.4,
64,60.0,Lucius Allen,27.0,MIL,PG,10.0,,342.0,15.7,0.463,0.226,2.8,6.5,4.7,23.1,1.9,0.2,0.2,0.2,0.4,0.059,-0.2,-1.0,-1.2,0.1,
65,60.0,Lucius Allen,27.0,LAL,PG,56.0,,2011.0,17.8,0.486,0.267,3.9,7.8,5.9,24.9,2.7,0.7,1.8,1.4,3.2,0.077,0.7,0.0,0.7,1.4,
66,61.0,Elmore Smith,25.0,LAL,C,74.0,,2341.0,15.9,0.5,0.329,8.6,24.3,16.5,8.7,1.6,4.6,1.0,3.7,4.7,0.097,-0.6,1.7,1.1,1.8,
67,62.0,John Drew,20.0,ATL,PF,78.0,,2289.0,21.4,0.491,0.442,14.4,21.7,17.8,9.5,2.3,0.9,4.2,3.0,7.1,0.149,2.4,-0.9,1.5,2.0,ROY-2
68,63.0,Phil Jackson,29.0,NYK,PF,78.0,,2285.0,13.7,0.511,0.355,6.2,21.5,13.7,8.4,1.7,1.2,1.9,2.9,4.8,0.102,-1.2,0.8,-0.4,0.9,
69,64.0,Happy Hairston,32.0,LAL,PF,74.0,,2283.0,16.2,0.579,0.506,12.8,26.7,19.8,10.2,1.0,0.2,4.4,2.6,7.0,0.146,1.2,-0.9,0.3,1.3,
70,65.0,Leonard Gray,23.0,SEA,PF,75.0,,2280.0,12.6,0.514,0.186,6.0,15.6,10.7,10.0,1.3,0.6,1.9,2.0,4.0,0.084,-1.2,-0.4,-1.7,0.2,ROY-4
71,66.0,Lloyd Neal,24.0,POR,PF,82.0,,2278.0,15.4,0.504,0.339,9.0,22.1,15.8,9.0,0.9,2.0,1.5,2.8,4.3,0.091,-0.3,-0.7,-0.9,0.6,
72,67.0,Mike Bantom,23.0,PHO,SF,82.0,,2239.0,15.5,0.5,0.286,9.5,15.9,12.7,10.6,1.3,1.1,2.5,2.1,4.5,0.097,0.1,-0.5,-0.5,0.9,MVP-16
73,68.0,Don Chaney,28.0,BOS,SG,82.0,,2208.0,12.9,0.471,0.22,7.8,8.9,8.3,10.8,2.5,1.5,1.7,3.4,5.1,0.111,-0.4,1.7,1.3,1.8,DEF2
74,69.0,Ron Behagen,24.0,KCO,PF,81.0,,2205.0,12.6,0.455,0.317,6.9,21.0,13.9,10.3,1.3,1.0,-0.5,2.8,2.2,0.049,-2.5,-0.3,-2.8,-0.5,
75,70.0,Mike Riordan,29.0,WSB,SF,74.0,,2191.0,15.1,0.513,0.111,4.1,8.9,6.5,13.7,1.5,0.1,3.1,3.0,6.1,0.134,0.1,0.2,0.3,1.3,
76,71.0,Leroy Ellis,34.0,PHI,PF,82.0,69.0,2183.0,12.3,0.485,0.159,9.0,18.1,13.5,7.6,0.9,1.3,2.1,2.2,4.3,0.094,-0.2,0.0,-0.2,1.0,
77,72.0,Dean Meminger,26.0,ATL,PG,80.0,,2177.0,13.9,0.515,0.526,3.6,6.2,4.8,24.1,2.4,0.3,2.5,1.4,3.9,0.086,-0.1,0.5,0.4,1.3,
78,73.0,E.C. Coleman,24.0,NOJ,PF,77.0,,2176.0,10.8,0.485,0.292,8.4,17.1,12.6,6.7,1.7,0.9,0.5,2.1,2.6,0.057,-2.2,0.0,-2.2,-0.1,
79,74.0,Charles Johnson,25.0,GSW,SG,79.0,,2171.0,12.8,0.431,0.107,6.0,8.0,7.0,14.2,2.8,0.2,0.5,2.0,2.4,0.054,-1.4,-0.1,-1.5,0.3,
80,75.0,Gar Heard,26.0,BUF,PF,67.0,,2148.0,13.6,0.411,0.23,9.1,21.9,15.8,11.8,2.2,2.8,-1.6,3.6,2.1,0.046,-1.8,1.3,-0.5,0.8,
81,76.0,Jack Marin,30.0,BUF,SF,81.0,,2147.0,12.8,0.51,0.266,5.1,11.8,8.6,8.6,1.1,0.4,2.4,1.5,3.9,0.087,-1.0,-1.1,-2.1,-0.1,
82,77.0,Jim McMillian,26.0,BUF,SF,62.0,,2132.0,14.7,0.557,0.332,6.3,11.8,9.2,9.9,1.4,0.3,4.3,1.7,6.0,0.134,1.3,-0.4,0.9,1.6,
83,78.0,Tom Henderson,23.0,ATL,PG,79.0,,2131.0,13.8,0.451,0.27,2.2,7.8,4.9,21.3,2.2,0.2,1.0,1.4,2.4,0.054,-0.7,-0.3,-1.0,0.5,
84,79.0,Mike Sojourner,21.0,ATL,C,73.0,,2129.0,14.1,0.507,0.188,8.5,21.7,14.7,6.4,0.7,1.4,2.7,1.9,4.7,0.106,0.2,-0.7,-0.4,0.8,ROY-5
85,80.0,Matt Guokas,30.0,CHI,SG,82.0,,2089.0,10.0,0.539,0.206,1.2,5.8,3.5,12.6,1.0,0.5,2.4,1.9,4.3,0.099,-1.3,0.2,-1.2,0.4,
86,81.0,Dwight Jones,22.0,ATL,C,75.0,,2086.0,14.4,0.467,0.243,10.4,22.9,16.3,10.3,1.1,1.3,1.7,2.2,3.9,0.09,-0.1,-0.4,-0.4,0.8,
87,82.0,Slick Watts,23.0,SEA,PG,82.0,,2056.0,15.2,0.45,0.278,4.7,8.4,6.5,31.7,4.2,0.3,-0.1,2.8,2.7,0.063,-1.2,1.8,0.6,1.3,
88,83.0,Don Nelson,34.0,BOS,SF,79.0,,2052.0,18.1,0.6,0.405,6.2,16.4,11.4,12.6,0.7,0.4,6.2,2.5,8.7,0.204,2.2,0.2,2.4,2.3,
89,84.0,John Mengelt,25.0,DET,SG,80.0,,1995.0,14.7,0.545,0.354,2.1,8.4,5.3,15.1,1.7,0.1,3.1,0.9,4.0,0.095,-0.7,-0.8,-1.4,0.3,
90,85.0,Jim Brewer,23.0,CLE,PF,82.0,,1991.0,14.6,0.483,0.249,10.9,16.2,13.6,9.0,1.8,1.2,2.0,2.4,4.4,0.107,0.8,0.2,0.9,1.5,
91,86.0,John Brown,23.0,ATL,SF,73.0,,1986.0,13.9,0.513,0.365,8.4,13.3,10.7,9.5,1.2,0.4,3.0,1.2,4.2,0.101,0.2,-0.7,-0.6,0.7,
92,87.0,George Thompson,27.0,MIL,SG,73.0,,1983.0,12.7,0.497,0.31,2.7,6.7,4.8,15.8,1.6,0.2,1.4,1.2,2.7,0.064,-1.6,-0.6,-2.3,-0.1,
93,88.0,Dwight Davis,25.0,CLE,PF,78.0,,1964.0,13.6,0.495,0.368,5.8,19.3,12.5,10.8,1.1,1.1,1.1,2.3,3.3,0.082,-1.5,0.1,-1.3,0.3,
94,89.0,Chris Ford,26.0,DET,SG,80.0,,1962.0,12.0,0.498,0.218,5.3,9.8,7.5,16.1,2.8,0.7,1.2,1.7,2.8,0.069,-1.1,1.3,0.3,1.1,
95,90.0,Nate Williams,24.0,2TM,SG,85.0,,1945.0,17.5,0.52,0.223,5.3,12.5,8.8,12.7,2.2,0.8,2.4,2.1,4.5,0.112,0.7,0.1,0.8,1.4,
96,90.0,Nate Williams,24.0,KCO,SG,50.0,,1131.0,16.1,0.493,0.202,5.3,11.1,8.2,11.7,2.2,1.1,0.8,1.3,2.1,0.087,-0.2,-0.1,-0.3,0.5,
97,90.0,Nate Williams,24.0,NOJ,SG,35.0,,814.0,19.5,0.559,0.252,5.2,14.5,9.7,14.2,2.4,0.4,1.7,0.8,2.5,0.146,2.0,0.4,2.4,0.9,
98,91.0,Louie Nelson,23.0,NOJ,PG,72.0,,1898.0,12.8,0.511,0.368,3.8,6.6,5.2,13.9,1.5,0.2,1.5,0.8,2.3,0.059,-1.4,-0.9,-2.2,-0.1,
99,92.0,Tom Burleson,22.0,SEA,C,82.0,,1888.0,16.1,0.465,0.343,8.4,22.7,15.5,8.6,1.5,4.2,0.2,3.1,3.3,0.083,-1.2,0.9,-0.3,0.8,
100,93.0,Jim Price,25.0,2TM,PG,50.0,,1870.0,16.1,0.5,0.271,3.5,7.3,5.4,22.0,2.8,0.7,1.9,1.8,3.7,0.095,-0.1,0.7,0.7,1.3,AS
101,93.0,Jim Price,25.0,LAL,PG,9.0,,339.0,19.7,0.511,0.269,4.8,7.3,6.1,29.2,2.8,0.4,0.6,0.2,0.8,0.111,1.5,0.0,1.5,0.3,
102,93.0,Jim Price,25.0,MIL,PG,41.0,,1531.0,15.4,0.497,0.271,3.2,7.3,5.3,20.4,2.8,0.7,1.4,1.6,2.9,0.092,-0.4,0.9,0.5,1.0,
103,94.0,Derrek Dickey,23.0,GSW,PF,80.0,,1859.0,13.1,0.501,0.174,9.9,19.0,14.4,8.5,1.2,0.5,2.0,1.8,3.8,0.098,-0.2,-0.8,-1.1,0.4,
104,95.0,Jon McGlocklin,31.0,MIL,SG,79.0,,1853.0,13.2,0.519,0.111,1.5,5.1,3.4,19.8,1.3,0.2,2.5,0.9,3.4,0.087,-0.4,-0.8,-1.2,0.4,
105,96.0,Kevin Kunnert,23.0,HOU,C,75.0,,1801.0,17.7,0.538,0.25,13.2,25.9,19.6,8.8,0.9,2.6,3.0,2.1,5.1,0.136,1.1,-0.6,0.5,1.1,
106,97.0,Stu Lantz,28.0,2TM,SG,75.0,,1783.0,11.9,0.49,0.408,4.8,5.7,5.2,14.5,1.4,0.3,1.3,0.5,1.7,0.047,-1.5,-1.1,-2.6,-0.3,
107,97.0,Stu Lantz,28.0,NOJ,SG,19.0,,353.0,9.7,0.452,0.461,1.9,5.0,3.4,11.7,1.5,0.3,-0.1,0.1,0.1,0.011,-3.1,-0.9,-3.9,-0.2,
108,97.0,Stu Lantz,28.0,LAL,SG,56.0,,1430.0,12.4,0.5,0.395,5.5,5.9,5.7,15.2,1.4,0.4,1.3,0.3,1.7,0.056,-1.1,-1.1,-2.2,-0.1,
109,98.0,Jim Barnett,30.0,2TM,SG,73.0,,1776.0,13.2,0.508,0.365,3.3,7.0,5.1,14.7,1.2,0.5,1.8,0.8,2.5,0.069,-0.6,-1.0,-1.6,0.2,
110,98.0,Jim Barnett,30.0,NOJ,SG,45.0,,1238.0,14.6,0.521,0.392,3.5,6.9,5.2,16.7,1.2,0.7,1.5,0.5,2.1,0.08,0.1,-1.0,-0.9,0.4,
111,98.0,Jim Barnett,30.0,NYK,SG,28.0,,538.0,9.8,0.472,0.291,2.9,7.1,4.9,10.1,1.0,0.0,0.2,0.2,0.5,0.042,-2.2,-1.0,-3.2,-0.2,
112,99.0,Jim Fox,31.0,SEA,C,75.0,,1766.0,14.7,0.534,0.393,7.4,21.1,14.2,10.6,1.2,0.5,2.6,2.0,4.6,0.124,0.2,-0.2,0.0,0.9,
113,100.0,Kevin Restani,23.0,MIL,PF,76.0,,1755.0,9.7,0.458,0.115,8.1,15.7,12.0,8.9,1.0,0.6,0.5,1.5,2.0,0.055,-1.5,-0.2,-1.7,0.1,
114,101.0,Larry McNeill,24.0,KCO,PF,80.0,,1749.0,15.5,0.52,0.374,8.8,20.6,14.7,6.4,1.8,0.8,2.0,2.4,4.4,0.121,-0.6,-0.2,-0.9,0.5,
115,102.0,Steve Mix,27.0,PHI,PF,46.0,46.0,1748.0,16.4,0.535,0.352,8.9,20.2,14.5,8.3,2.1,0.6,2.8,2.3,5.1,0.141,0.7,0.7,1.4,1.5,AS
116,103.0,Aaron James,22.0,NOJ,SF,76.0,,1731.0,14.4,0.516,0.244,7.8,13.5,10.6,6.1,1.0,0.5,1.8,1.1,2.9,0.08,-0.6,-1.6,-2.2,-0.1,
117,104.0,Dave Wohl,25.0,HOU,PG,75.0,,1722.0,12.0,0.477,0.229,1.7,5.6,3.6,26.2,2.0,0.3,0.5,0.9,1.4,0.039,-1.6,-0.6,-2.2,-0.1,
118,105.0,Ken Charles,23.0,BUF,SG,79.0,,1690.0,12.5,0.518,0.283,4.3,5.6,4.9,13.3,2.3,0.6,1.7,1.3,3.0,0.086,-1.0,0.6,-0.4,0.7,
119,106.0,Harthorne Wingo,27.0,NYK,PF,82.0,,1686.0,13.9,0.516,0.37,9.9,18.4,14.1,7.0,1.3,1.1,2.1,1.8,3.9,0.111,-0.3,-0.2,-0.5,0.6,
120,107.0,Bud Stallworth,25.0,NOJ,SF,73.0,,1668.0,10.2,0.456,0.256,4.5,10.4,7.4,4.2,1.6,0.4,-0.6,1.0,0.4,0.012,-3.2,-1.3,-4.5,-1.1,
121,108.0,Ollie Johnson,25.0,2TM,SF,73.0,,1667.0,10.9,0.523,0.266,5.2,9.7,7.4,9.3,1.6,1.1,1.4,1.2,2.6,0.075,-1.1,0.2,-0.9,0.5,
122,108.0,Ollie Johnson,25.0,NOJ,SF,43.0,,1159.0,10.8,0.511,0.258,5.0,10.5,7.7,9.6,1.6,0.9,0.8,0.8,1.6,0.065,-1.1,0.2,-1.0,0.3,
123,108.0,Ollie Johnson,25.0,KCO,SF,30.0,,508.0,11.3,0.55,0.285,5.5,8.0,6.7,8.4,1.5,1.4,0.6,0.4,1.0,0.098,-1.2,0.4,-0.7,0.2,
124,109.0,Gary Brokaw,21.0,MIL,SG,73.0,,1639.0,12.2,0.499,0.358,2.4,6.8,4.7,18.5,0.9,0.6,0.8,0.8,1.6,0.047,-1.6,-1.1,-2.6,-0.3,
125,110.0,Paul Westphal,24.0,BOS,SG,82.0,,1581.0,17.3,0.544,0.233,2.8,7.4,5.1,21.5,2.2,1.1,3.0,2.2,5.1,0.156,1.1,1.5,2.6,1.8,
126,111.0,Jim Washington,31.0,2TM,PF,80.0,,1579.0,10.8,0.481,0.221,6.9,17.9,12.3,9.3,1.0,0.8,1.0,1.4,2.4,0.072,-1.1,0.0,-1.1,0.4,
