,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Awards
180,154.0,Dick Van Arsdale,33.0,PHO,SG,78.0,,19.7,2.9,6.4,0.456,1.9,2.1,0.873,0.4,1.1,1.5,1.5,0.4,0.1,1.2,7.7,
181,155.0,Leonard Gray,25.0,2TM,PF,83.0,,19.7,3.1,7.1,0.436,1.4,1.9,0.747,1.0,2.5,3.5,1.5,0.7,0.4,3.3,7.6,
182,155.0,Leonard Gray,25.0,SEA,PF,25.0,,25.7,4.6,10.5,0.435,2.4,3.1,0.756,0.9,3.4,4.3,2.2,1.1,0.5,3.4,11.5,
183,155.0,Leonard Gray,25.0,WSB,PF,58.0,,17.2,2.5,5.7,0.436,1.0,1.4,0.738,1.1,2.2,3.2,1.2,0.5,0.3,3.3,6.0,
184,156.0,Leon Douglas,22.0,DET,C,82.0,,19.8,3.0,6.2,0.479,1.5,2.8,0.555,2.2,4.2,6.4,0.8,0.5,1.0,3.6,7.5,
185,157.0,Gus Gerard,23.0,2TM,SF,65.0,,16.1,3.1,7.0,0.443,1.2,1.8,0.667,1.4,2.0,3.3,1.4,0.7,1.0,2.5,7.4,
186,157.0,Gus Gerard,23.0,DEN,SF,24.0,,19.0,4.2,8.8,0.481,1.6,2.3,0.679,1.6,2.6,4.2,2.0,0.9,1.3,3.0,10.0,
187,157.0,Gus Gerard,23.0,BUF,SF,41.0,,14.4,2.4,6.0,0.41,1.0,1.5,0.656,1.2,1.6,2.9,1.0,0.6,0.8,2.2,5.9,
188,158.0,Derrek Dickey,25.0,GSW,PF,49.0,,17.5,3.2,7.0,0.458,0.9,1.2,0.738,2.0,2.9,4.9,1.3,0.4,0.2,2.1,7.4,
189,159.0,Bob Love,34.0,3TM,SF,59.0,,19.9,2.7,7.3,0.379,1.8,2.2,0.826,1.3,2.0,3.4,0.8,0.4,0.1,2.0,7.3,
190,159.0,Bob Love,34.0,CHI,SF,14.0,,35.4,4.9,14.4,0.338,2.5,3.3,0.761,2.7,2.5,5.2,1.6,0.6,0.1,3.4,12.2,
191,159.0,Bob Love,34.0,NYN,SF,13.0,,17.5,3.8,8.2,0.462,2.5,3.0,0.846,1.2,1.8,2.9,0.3,0.1,0.2,1.8,10.1,
192,159.0,Bob Love,34.0,SEA,SF,32.0,,14.1,1.4,3.8,0.372,1.3,1.5,0.872,0.8,1.9,2.7,0.7,0.4,0.1,1.6,4.1,
193,160.0,Jim Price,27.0,3TM,PG,81.0,,22.6,3.1,7.0,0.446,1.0,1.3,0.806,0.6,2.2,2.9,3.2,1.6,0.2,3.0,7.3,
194,160.0,Jim Price,27.0,MIL,PG,6.0,,18.5,3.5,6.8,0.512,1.2,1.5,0.778,0.7,1.5,2.2,2.5,1.2,0.2,2.3,8.2,
195,160.0,Jim Price,27.0,BUF,PG,20.0,,16.7,2.2,5.2,0.423,0.9,1.0,0.85,0.3,1.5,1.7,1.9,1.3,0.3,2.6,5.3,
196,160.0,Jim Price,27.0,DEN,PG,55.0,,25.2,3.4,7.7,0.445,1.1,1.3,0.797,0.7,2.6,3.3,3.8,1.7,0.3,3.3,7.9,
197,161.0,Don Adams,29.0,BUF,SF,77.0,,22.2,2.8,6.8,0.411,1.7,2.2,0.746,1.7,3.1,4.8,1.9,1.0,0.2,2.6,7.3,
198,162.0,Don Ford,24.0,LAL,PF,82.0,82.0,21.7,3.2,7.0,0.46,0.9,1.2,0.716,1.3,3.0,4.3,1.6,0.7,0.3,2.1,7.3,
199,163.0,Charles Dudley,26.0,GSW,PG,79.0,,21.3,2.8,5.3,0.523,1.6,2.6,0.635,1.5,2.2,3.7,4.4,0.8,0.1,2.1,7.2,
200,164.0,Paul Silas,33.0,DEN,PF,81.0,,24.2,2.5,7.1,0.36,2.1,3.1,0.667,2.9,4.6,7.5,1.6,0.7,0.3,2.3,7.2,
201,165.0,Mel Davis,26.0,2TM,PF,56.0,,19.5,3.0,8.3,0.362,1.1,1.6,0.703,1.8,3.5,5.2,1.3,0.6,0.1,2.3,7.1,
202,165.0,Mel Davis,26.0,NYK,PF,22.0,,15.5,1.9,5.0,0.373,1.0,1.4,0.71,1.4,3.2,4.5,1.1,0.4,0.0,2.0,4.7,
203,165.0,Mel Davis,26.0,NYN,PF,34.0,,22.1,3.7,10.4,0.359,1.2,1.8,0.7,2.0,3.7,5.7,1.4,0.6,0.1,2.5,8.7,
