,Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
470,455.0,Monte Morris,30.0,IND,PG,6.0,0.0,65.0,7.0,0.414,0.4,0.2,1.6,10.3,5.8,19.2,0.7,1.3,8.4,15.4,-0.1,0.0,0.0,-0.019,-4.5,-1.4,-5.9,-0.1,
471,456.0,Sharife Cooper,24.0,WAS,PG,8.0,0.0,64.0,6.8,0.503,0.333,0.111,4.9,16.6,10.7,15.0,0.7,1.4,24.1,16.2,-0.1,0.0,-0.1,-0.053,-6.2,-2.3,-8.6,-0.1,
472,457.0,Drew Peterson,26.0,CHO,PF,6.0,0.0,64.0,0.6,0.148,0.75,0.125,5.4,10.3,7.9,3.8,2.3,1.4,0.0,11.1,-0.2,0.1,-0.1,-0.088,-8.4,-1.7,-10.1,-0.1,
473,458.0,Yuki Kawamura,24.0,CHI,PG,3.0,0.0,64.0,16.1,0.543,0.846,0.462,3.4,19.6,11.7,28.4,3.0,0.0,6.0,11.0,0.2,0.1,0.2,0.182,-1.5,1.2,-0.3,0.0,
474,459.0,Bobi Klintman,22.0,DET,SF,8.0,0.0,60.0,3.0,0.364,0.5,0.136,9.3,21.9,15.7,8.6,1.6,0.0,17.7,19.4,-0.2,0.1,-0.1,-0.063,-8.9,-1.9,-10.8,-0.1,
475,460.0,James Wiseman,24.0,IND,C,4.0,1.0,58.0,4.2,0.597,0.0,0.2,8.9,5.8,7.4,7.1,0.0,1.5,31.5,11.6,0.0,0.0,0.0,-0.021,-7.9,-1.0,-8.9,-0.1,
476,461.0,Pacome Dadiet,20.0,NYK,SG,18.0,0.0,57.0,8.7,0.372,0.556,0.444,1.9,19.6,10.5,16.4,1.7,0.0,0.0,7.9,0.0,0.1,0.1,0.097,-3.5,2.3,-1.2,0.0,
477,462.0,Antonio Reeves,25.0,CHO,SG,7.0,0.0,56.0,11.5,0.656,0.625,0.0,2.1,7.8,5.0,5.0,0.9,0.0,0.0,12.0,0.1,0.0,0.1,0.119,-0.1,0.3,0.2,0.0,
478,463.0,Tolu Smith,25.0,DET,PF,5.0,0.0,55.0,23.3,0.602,0.0,1.0,20.3,35.8,28.1,9.5,1.7,9.0,15.6,19.2,0.1,0.1,0.3,0.249,1.8,3.4,5.2,0.1,
479,464.0,Cody Martin,30.0,IND,SF,4.0,0.0,55.0,3.0,0.277,0.5,0.6,1.9,26.3,13.7,4.6,3.5,3.1,24.0,12.8,-0.2,0.1,-0.1,-0.095,-10.0,2.2,-7.8,-0.1,
480,465.0,Thanasis Antetokounmpo,33.0,MIL,SF,17.0,0.0,50.0,18.1,0.554,0.067,0.733,13.6,11.1,12.3,2.9,5.9,5.8,13.1,20.2,0.0,0.1,0.1,0.118,-3.0,2.4,-0.6,0.0,
481,466.0,Caleb Houstan,23.0,ATL,SF,10.0,0.0,49.0,11.5,0.705,0.8,0.2,8.7,2.2,5.5,5.4,1.0,1.8,19.7,17.4,0.0,0.0,0.1,0.069,-1.0,-2.7,-3.8,0.0,
482,467.0,E.J. Liddell,25.0,BRK,PF,10.0,0.0,49.0,13.9,0.6,0.647,0.176,6.7,20.0,13.0,0.0,1.0,0.0,0.0,16.3,0.1,0.0,0.1,0.101,0.8,-2.8,-2.0,0.0,
483,468.0,Matisse Thybulle,28.0,POR,SG,4.0,0.0,49.0,21.6,0.85,0.6,0.4,0.0,8.9,4.4,8.5,9.7,0.0,7.8,10.5,0.2,0.1,0.3,0.281,0.4,10.7,11.1,0.2,
484,469.0,Trey Jemison,26.0,NYK,C,8.0,0.0,48.0,7.4,0.643,0.0,0.2,15.6,16.3,15.9,5.0,0.0,4.2,42.4,8.3,0.0,0.0,0.1,0.051,-6.5,-1.2,-7.7,-0.1,
485,470.0,Daeqwon Plowden,27.0,SAC,SG,3.0,0.0,46.0,0.9,0.182,0.727,0.0,7.2,12.4,9.8,2.7,0.0,1.9,0.0,10.2,-0.1,0.0,-0.1,-0.115,-7.2,-4.6,-11.9,-0.1,
486,471.0,Kyle Lowry,39.0,PHI,PG,6.0,0.0,45.0,3.6,0.375,1.0,0.0,0.0,7.5,3.7,19.2,1.1,0.0,20.0,9.4,0.0,0.0,0.0,-0.01,-6.3,-1.8,-8.1,-0.1,
487,472.0,Kobe Bufkin,22.0,LAL,SG,4.0,0.0,45.0,9.1,0.505,0.636,0.182,2.7,10.1,6.5,5.7,1.1,6.3,7.8,12.4,0.0,0.0,0.0,0.045,-2.8,-1.6,-4.4,0.0,
488,473.0,Johni Broome,23.0,PHI,C,9.0,0.0,43.0,2.2,0.23,0.15,0.2,15.0,18.4,16.7,12.2,2.3,0.0,8.4,23.4,-0.2,0.1,-0.1,-0.16,-10.0,-4.8,-14.8,-0.1,
489,474.0,Wendell Moore Jr.,24.0,DET,SG,3.0,0.0,43.0,7.7,0.5,0.167,0.0,2.6,7.6,5.1,8.5,2.2,2.3,14.3,6.7,0.0,0.1,0.1,0.076,-3.9,1.6,-2.3,0.0,
490,475.0,Trey Alexander,22.0,NOP,SG,5.0,0.0,42.0,13.6,0.778,0.333,0.0,0.0,10.6,5.1,16.5,1.1,2.3,10.0,9.9,0.1,0.0,0.1,0.128,0.3,0.3,0.6,0.0,
491,476.0,Dario Šarić,31.0,SAC,C,5.0,0.0,41.0,0.7,0.363,0.5,0.333,2.7,13.9,8.2,5.9,0.0,0.0,22.5,9.3,-0.1,0.0,-0.1,-0.079,-6.9,-2.2,-9.1,-0.1,
492,477.0,Ty Jerome,28.0,MEM,SG,2.0,2.0,40.0,32.8,0.703,0.545,0.591,5.3,13.2,9.3,62.4,2.4,0.0,15.3,33.8,0.2,0.0,0.3,0.351,10.8,1.6,12.4,0.1,
493,478.0,Skal Labissière,29.0,WAS,PF,3.0,0.0,38.0,16.4,0.65,0.5,0.0,8.3,16.8,12.5,11.3,2.5,2.3,9.1,12.1,0.1,0.0,0.1,0.126,-0.3,0.2,-0.1,0.0,
