,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
538,386.0,Hamed Haddadi,25.0,MEM,C,31.0,0.0,5.4,1.0,1.9,0.517,0.0,0.0,0.0,1.0,1.8,0.526,0.517,0.5,0.7,0.652,0.8,1.4,2.2,0.2,0.1,0.4,0.4,0.9,2.4,
539,387.0,Juwan Howard,37.0,MIA,PF,57.0,0.0,10.4,1.0,2.2,0.44,0.0,0.0,,1.0,2.2,0.44,0.44,0.5,0.6,0.829,0.6,1.5,2.1,0.4,0.2,0.1,0.4,1.1,2.4,
540,388.0,Ish Smith,22.0,2TM,PG,43.0,3.0,10.3,1.0,2.7,0.374,0.1,0.2,0.3,0.9,2.4,0.381,0.387,0.3,0.5,0.571,0.2,0.9,1.1,1.8,0.4,0.0,0.8,0.9,2.3,
541,388.0,Ish Smith,22.0,HOU,PG,28.0,3.0,11.8,1.1,3.0,0.386,0.1,0.3,0.375,1.0,2.7,0.387,0.404,0.3,0.4,0.7,0.2,1.3,1.5,2.3,0.5,0.1,0.9,0.9,2.6,
542,388.0,Ish Smith,22.0,MEM,PG,15.0,0.0,7.5,0.7,2.1,0.344,0.0,0.1,0.0,0.7,2.0,0.367,0.344,0.3,0.7,0.455,0.1,0.3,0.3,1.0,0.3,0.0,0.5,0.7,1.8,
543,389.0,Melvin Ely,32.0,DEN,C,30.0,2.0,12.2,0.9,1.7,0.549,0.0,0.0,,0.9,1.7,0.549,0.549,0.4,0.7,0.619,0.9,1.6,2.5,0.5,0.1,0.4,0.5,1.7,2.3,
544,390.0,Dominique Jones,22.0,DAL,SG,18.0,0.0,7.5,0.8,2.5,0.311,0.0,0.2,0.0,0.8,2.3,0.341,0.311,0.8,0.9,0.824,0.3,1.1,1.4,1.1,0.3,0.2,0.6,0.4,2.3,
545,391.0,Mustafa Shakur,26.0,WAS,PG,22.0,0.0,7.2,1.0,2.7,0.356,0.0,0.5,0.1,0.9,2.2,0.408,0.364,0.4,0.7,0.533,0.3,0.7,1.0,1.1,0.2,0.1,0.8,0.7,2.3,
546,392.0,Pape Sy,22.0,ATL,SF,3.0,0.0,7.0,0.7,2.0,0.333,0.0,0.3,0.0,0.7,1.7,0.4,0.333,1.0,1.0,1.0,0.7,0.3,1.0,0.7,0.3,0.0,1.0,0.3,2.3,
547,393.0,Jon Brockman,23.0,MIL,C,63.0,6.0,10.7,0.8,1.5,0.511,0.0,0.0,,0.8,1.5,0.511,0.511,0.6,0.9,0.678,1.2,1.7,2.9,0.3,0.2,0.0,0.4,1.9,2.2,
548,394.0,Francisco Elson,34.0,UTA,C,62.0,1.0,9.8,0.9,1.8,0.478,0.0,0.0,,0.9,1.8,0.478,0.478,0.4,0.5,0.839,0.6,1.3,1.9,0.5,0.3,0.2,0.5,1.4,2.2,
549,395.0,Eduardo Nájera,34.0,CHA,PF,31.0,0.0,12.0,0.8,2.3,0.361,0.4,1.1,0.324,0.5,1.2,0.395,0.438,0.2,0.4,0.545,0.5,1.0,1.4,0.6,0.4,0.2,0.4,1.7,2.2,
550,396.0,Garret Siler,24.0,PHO,C,21.0,0.0,4.8,0.8,1.5,0.548,0.0,0.0,,0.8,1.5,0.548,0.548,0.5,1.0,0.5,0.8,0.6,1.3,0.1,0.0,0.2,0.5,1.0,2.1,
551,397.0,Renaldo Balkman,26.0,2TM,SF,8.0,0.0,7.8,0.8,1.6,0.462,0.1,0.3,0.5,0.6,1.4,0.455,0.5,0.4,0.5,0.75,0.3,0.6,0.9,0.3,0.5,0.3,0.1,1.9,2.0,
552,397.0,Renaldo Balkman,26.0,DEN,SF,5.0,0.0,8.8,1.0,1.8,0.556,0.0,0.0,,1.0,1.8,0.556,0.556,0.6,0.8,0.75,0.2,0.6,0.8,0.4,0.6,0.4,0.0,2.2,2.6,
553,397.0,Renaldo Balkman,26.0,NYK,SF,3.0,0.0,6.0,0.3,1.3,0.25,0.3,0.7,0.5,0.0,0.7,0.0,0.375,0.0,0.0,,0.3,0.7,1.0,0.0,0.3,0.0,0.3,1.3,1.0,
554,398.0,Jason Williams,35.0,2TM,PG,27.0,0.0,10.9,0.8,2.5,0.328,0.4,1.4,0.263,0.4,1.1,0.414,0.403,0.0,0.0,,0.1,1.0,1.1,1.9,0.4,0.0,0.7,0.3,2.0,
555,398.0,Jason Williams,35.0,ORL,PG,16.0,0.0,10.7,0.8,2.4,0.342,0.4,1.4,0.304,0.4,0.9,0.4,0.434,0.0,0.0,,0.2,1.2,1.4,1.5,0.5,0.0,0.7,0.4,2.1,
556,398.0,Jason Williams,35.0,MEM,PG,11.0,0.0,11.3,0.8,2.6,0.31,0.3,1.4,0.2,0.5,1.3,0.429,0.362,0.0,0.0,,0.0,0.7,0.7,2.5,0.3,0.1,0.6,0.2,1.9,
557,399.0,Joel Anthony,28.0,MIA,C,75.0,11.0,19.5,0.7,1.3,0.535,0.0,0.0,,0.7,1.3,0.535,0.535,0.6,1.0,0.644,1.4,2.2,3.5,0.3,0.1,1.2,0.5,2.6,2.0,
558,400.0,Marcus Banks,29.0,TOR,PG,3.0,0.0,7.3,0.0,0.7,0.0,0.0,0.0,,0.0,0.7,0.0,0.0,2.0,2.7,0.75,0.0,0.3,0.3,1.0,0.3,0.0,0.7,1.3,2.0,
559,401.0,Derrick Caracter,22.0,LAL,C,41.0,0.0,5.2,0.8,1.6,0.485,0.0,0.0,,0.8,1.6,0.485,0.485,0.4,0.6,0.739,0.5,0.6,1.0,0.2,0.1,0.2,0.5,1.1,2.0,
560,402.0,Jason Collins,32.0,ATL,C,49.0,28.0,12.1,0.7,1.4,0.479,0.0,0.0,1.0,0.7,1.4,0.471,0.486,0.6,0.8,0.659,0.6,1.5,2.1,0.4,0.2,0.2,0.5,2.0,2.0,
561,403.0,Kyrylo Fesenko,24.0,UTA,C,53.0,1.0,8.6,0.8,1.9,0.44,0.0,0.0,0.0,0.8,1.9,0.444,0.44,0.3,0.9,0.391,0.6,1.4,2.0,0.3,0.1,0.3,0.5,1.7,2.0,
562,404.0,Mike Harris,27.0,HOU,PF,4.0,0.0,4.0,0.8,1.5,0.5,0.0,0.0,,0.8,1.5,0.5,0.5,0.5,1.0,0.5,0.5,0.8,1.3,0.3,0.0,0.3,0.3,0.5,2.0,
563,405.0,Chris Quinn,27.0,SAS,PG,41.0,0.0,7.1,0.8,2.2,0.363,0.3,0.9,0.297,0.5,1.3,0.407,0.423,0.1,0.2,0.5,0.1,0.5,0.6,1.0,0.1,0.0,0.3,0.7,2.0,
564,406.0,Jamaal Magloire,32.0,MIA,C,18.0,0.0,8.8,0.7,1.2,0.591,0.0,0.0,,0.7,1.2,0.591,0.591,0.5,1.0,0.5,0.9,2.4,3.4,0.2,0.2,0.1,0.3,1.4,1.9,
565,407.0,Byron Mullens,21.0,OKC,PF,13.0,0.0,6.5,0.7,2.2,0.321,0.0,0.0,,0.7,2.2,0.321,0.321,0.5,1.1,0.5,0.5,1.4,1.8,0.0,0.2,0.2,0.6,0.8,1.9,
566,408.0,Willie Warren,21.0,LAC,PG,19.0,0.0,7.1,0.7,1.8,0.371,0.3,0.8,0.333,0.4,1.1,0.4,0.443,0.3,0.4,0.75,0.1,0.6,0.6,1.4,0.3,0.0,0.4,0.8,1.9,
567,409.0,Jared Jeffries,29.0,2TM,PF,42.0,9.0,14.3,0.7,2.0,0.349,0.0,0.2,0.222,0.7,1.8,0.364,0.36,0.3,0.7,0.414,1.5,1.3,2.8,0.9,0.7,0.4,0.5,1.8,1.8,
568,409.0,Jared Jeffries,29.0,HOU,PF,18.0,0.0,7.7,0.6,2.0,0.306,0.1,0.3,0.167,0.6,1.7,0.333,0.319,0.2,0.6,0.4,1.1,0.8,1.9,0.6,0.4,0.2,0.2,1.2,1.5,
569,409.0,Jared Jeffries,29.0,NYK,PF,24.0,9.0,19.3,0.8,2.1,0.38,0.0,0.1,0.333,0.8,2.0,0.383,0.39,0.3,0.8,0.421,1.8,1.6,3.4,1.0,1.0,0.6,0.7,2.3,2.0,
570,410.0,Joel Przybilla,31.0,2TM,C,36.0,9.0,14.4,0.7,1.2,0.568,0.0,0.0,,0.7,1.2,0.568,0.568,0.4,0.8,0.519,1.0,3.0,4.0,0.4,0.1,0.4,0.8,2.2,1.8,
571,410.0,Joel Przybilla,31.0,POR,C,31.0,9.0,14.4,0.7,1.1,0.618,0.0,0.0,,0.7,1.1,0.618,0.618,0.4,0.7,0.565,0.9,3.0,3.9,0.4,0.2,0.5,0.7,2.0,1.8,
