,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
293,240.0,Clemon Johnson,22.0,POR,C,74.0,,10.7,1.4,2.9,0.47,0.5,1.0,0.486,1.1,1.9,3.1,1.1,0.3,0.5,0.9,1.6,3.2,
294,241.0,John Rudd,23.0,NYK,SF,58.0,,12.5,1.0,2.3,0.444,1.1,1.6,0.71,1.2,1.7,2.9,0.6,0.3,0.1,1.0,1.6,3.2,
295,242.0,Butch Beard,31.0,NYK,PG,7.0,,12.1,1.6,3.7,0.423,0.0,0.0,,0.1,1.3,1.4,2.7,1.0,0.0,1.4,1.9,3.1,
296,243.0,Ron Carter,22.0,LAL,SG,46.0,,7.2,1.2,2.7,0.435,0.8,1.2,0.667,0.5,0.5,1.0,0.5,0.4,0.2,0.9,1.2,3.1,
297,244.0,Kim Anderson,23.0,POR,SF,21.0,,10.7,1.1,3.7,0.312,0.7,1.3,0.536,0.8,1.3,2.1,0.7,0.2,0.2,1.0,2.0,3.0,
298,245.0,Dave Corzine,22.0,WSB,C,59.0,,9.0,1.1,2.0,0.534,0.8,1.1,0.778,0.9,1.6,2.5,0.8,0.2,0.2,0.9,1.1,3.0,
299,246.0,Tony Robertson,23.0,GSW,SG,12.0,,6.2,1.3,3.3,0.375,0.5,0.8,0.667,0.5,0.3,0.8,0.3,0.7,0.0,0.7,0.8,3.0,
300,247.0,Rick Wilson,22.0,ATL,SG,61.0,0.0,9.7,1.3,3.2,0.411,0.4,0.7,0.545,0.3,0.9,1.2,1.2,0.5,0.1,0.7,1.1,3.0,
301,248.0,Brad Davis,23.0,2TM,PG,27.0,0.0,11.0,1.1,2.0,0.564,0.6,0.9,0.696,0.0,0.6,0.6,1.9,0.6,0.1,0.6,1.2,2.9,
302,248.0,Brad Davis,23.0,LAL,PG,5.0,,13.0,1.6,2.2,0.727,0.6,0.8,0.75,0.0,0.2,0.2,1.8,0.4,0.0,1.2,2.0,3.8,
303,248.0,Brad Davis,23.0,IND,PG,22.0,0.0,10.6,1.0,2.0,0.523,0.6,0.9,0.684,0.0,0.7,0.7,2.0,0.6,0.1,0.5,1.0,2.7,
304,249.0,Bob Bigelow,25.0,SDC,SF,29.0,,14.2,1.2,3.1,0.4,0.4,0.7,0.619,0.5,1.1,1.6,0.9,0.4,0.1,0.6,1.3,2.9,
305,250.0,Keith Herron,22.0,ATL,SG,14.0,0.0,5.8,1.0,3.4,0.292,0.9,0.9,0.923,0.3,0.4,0.7,0.2,0.4,0.1,0.4,0.8,2.9,
306,251.0,Alonzo Bradley,25.0,HOU,SF,34.0,,7.2,1.1,2.6,0.42,0.6,1.0,0.667,0.4,1.0,1.4,0.5,0.1,0.0,0.5,1.0,2.8,
307,252.0,Jacky Dorsey,24.0,HOU,SF,20.0,,5.4,1.2,2.2,0.558,0.4,0.8,0.5,0.6,0.6,1.2,0.1,0.1,0.1,0.4,1.3,2.8,
308,253.0,Essie Hollis,23.0,DET,SF,25.0,,6.2,1.2,3.0,0.4,0.4,0.5,0.75,0.8,1.0,1.8,0.2,0.4,0.0,0.6,1.1,2.8,
309,254.0,Roger Phegley,22.0,WSB,SG,29.0,,5.3,1.0,2.7,0.359,0.8,1.0,0.828,0.2,0.6,0.8,0.5,0.2,0.1,0.6,0.7,2.8,
310,255.0,Norm Van Lier,31.0,MIL,PG,38.0,,14.6,0.8,2.0,0.39,1.2,1.4,0.904,0.2,0.8,1.1,4.2,1.1,0.1,1.3,2.8,2.8,
311,256.0,Charles Dudley,28.0,CHI,PG,43.0,,15.9,1.0,2.9,0.36,0.7,1.0,0.667,0.6,1.4,2.0,2.7,0.7,0.0,1.5,1.9,2.7,
312,257.0,Bo Ellis,24.0,DEN,PF,42.0,,6.4,1.0,2.2,0.457,0.7,0.9,0.806,0.4,1.1,1.5,0.2,0.2,0.3,0.5,1.1,2.7,
313,258.0,Steve Green,25.0,IND,SF,39.0,0.0,6.8,1.1,2.3,0.472,0.5,0.9,0.588,0.6,0.8,1.3,0.5,0.3,0.1,0.4,1.0,2.7,
