,Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
66,65.0,James Edwards,25.0,IND,C,81.0,80.0,2375.0,18.2,0.547,0.003,0.346,8.5,18.0,13.1,13.3,0.6,3.1,12.4,22.3,4.4,2.6,7.0,0.141,1.2,0.1,1.3,2.0,
67,66.0,Mike Bantom,29.0,IND,SF,76.0,74.0,2375.0,14.5,0.528,0.007,0.319,6.7,13.1,9.8,14.4,1.6,2.0,16.4,20.3,1.8,2.5,4.4,0.088,-0.2,0.1,-0.1,1.2,
68,67.0,World B. Free,27.0,GSW,SG,65.0,,2370.0,19.5,0.542,0.027,0.561,2.2,5.3,3.7,22.3,1.7,0.3,11.9,27.4,6.8,0.6,7.4,0.15,2.9,-1.4,1.5,2.1,
69,68.0,Joe Bryant,26.0,SDC,PF,82.0,,2359.0,12.8,0.53,0.019,0.308,6.9,15.2,10.9,11.1,1.5,0.8,16.4,18.6,1.7,1.7,3.4,0.069,-1.1,-0.6,-1.7,0.2,
70,69.0,John Johnson,33.0,SEA,SF,80.0,,2324.0,11.3,0.479,0.001,0.247,6.5,10.5,8.6,19.6,1.2,0.6,19.3,20.9,-0.8,2.0,1.2,0.025,-1.4,-0.9,-2.4,-0.2,
71,70.0,Jim Spanarkel,23.0,DAL,SF,82.0,,2317.0,17.3,0.563,0.012,0.488,6.7,7.9,7.3,15.8,2.5,0.5,14.1,22.1,4.5,1.1,5.5,0.115,1.4,-0.1,1.2,1.9,
72,71.0,Brian Taylor,29.0,SDC,PG,80.0,,2312.0,15.9,0.602,0.195,0.313,2.8,4.9,3.8,25.5,2.4,0.6,14.2,13.8,5.6,1.4,7.1,0.146,1.7,0.6,2.3,2.5,
73,72.0,Vinnie Johnson,24.0,SEA,PG,81.0,,2311.0,16.8,0.583,0.006,0.344,9.4,8.0,8.7,22.2,1.6,0.5,19.3,19.7,4.0,1.9,5.9,0.122,2.1,-0.3,1.9,2.3,
74,73.0,Purvis Short,23.0,GSW,SF,79.0,,2309.0,17.0,0.509,0.015,0.177,7.1,11.7,9.4,16.2,1.6,0.5,10.3,23.9,4.3,1.1,5.4,0.111,1.5,-0.8,0.6,1.5,
75,74.0,Steve Hawes,30.0,ATL,C,74.0,,2309.0,14.7,0.585,0.006,0.436,8.1,19.9,13.9,10.7,1.5,0.8,17.5,16.5,3.4,2.3,5.7,0.119,0.2,0.2,0.4,1.4,
76,75.0,Robert Parish,27.0,BOS,C,82.0,82.0,2298.0,25.2,0.579,0.001,0.34,12.7,25.3,19.3,10.0,1.7,5.1,12.5,27.1,6.0,4.9,10.9,0.228,3.3,2.1,5.4,4.3,"MVP-7,AS"
77,76.0,Phil Hubbard,24.0,DET,PF,80.0,,2289.0,15.4,0.544,0.003,0.484,11.3,18.9,14.9,10.4,1.7,0.5,17.7,22.9,1.8,2.7,4.5,0.094,-0.7,-0.7,-1.4,0.3,
78,77.0,Phil Ford,24.0,KCK,PG,66.0,,2287.0,17.3,0.553,0.041,0.399,1.3,4.9,3.1,35.5,2.1,0.1,18.8,23.3,3.4,1.9,5.2,0.11,1.8,-1.3,0.5,1.4,MVP-12
79,78.0,Keith Herron,24.0,DET,SG,80.0,,2270.0,13.4,0.511,0.012,0.28,4.7,6.1,5.4,10.4,1.9,0.7,12.5,21.8,1.6,1.9,3.5,0.074,-0.6,-0.6,-1.3,0.4,
80,79.0,Roger Phegley,24.0,CLE,SG,82.0,,2269.0,14.3,0.545,0.029,0.277,4.2,8.0,6.0,11.8,1.4,0.4,13.2,22.1,2.9,0.8,3.7,0.078,-0.5,-1.1,-1.6,0.3,
81,80.0,Wes Matthews,21.0,2TM,PG,79.0,,2266.0,13.1,0.549,0.027,0.323,2.2,4.6,3.4,26.2,2.3,0.4,22.7,20.7,0.7,1.9,2.6,0.055,-0.9,-0.3,-1.2,0.5,
82,80.0,Wes Matthews,21.0,WSB,PG,45.0,,1161.0,12.6,0.546,0.033,0.287,2.7,3.4,3.0,24.3,1.9,0.5,22.8,22.6,-0.2,1.2,1.0,0.041,-1.2,-0.4,-1.6,0.1,
83,80.0,Wes Matthews,21.0,ATL,PG,34.0,,1105.0,13.6,0.553,0.018,0.373,1.6,5.9,3.7,28.2,2.7,0.4,22.6,18.6,0.8,0.8,1.6,0.069,-0.6,-0.2,-0.7,0.4,
84,81.0,Bob Wilkerson,26.0,CHI,SG,80.0,,2238.0,12.3,0.507,0.014,0.228,4.6,9.6,7.2,16.7,2.2,0.6,18.2,17.5,1.2,2.0,3.2,0.068,-0.9,0.2,-0.7,0.7,
85,82.0,Sam Lacey,32.0,KCK,C,82.0,,2228.0,13.5,0.483,0.009,0.218,6.6,22.5,14.6,22.5,2.0,3.1,23.7,14.3,0.2,3.8,4.0,0.086,-0.9,3.5,2.6,2.6,
86,83.0,Junior Bridgeman,27.0,MIL,SF,77.0,,2215.0,17.1,0.534,0.019,0.219,4.0,10.2,7.2,15.1,1.8,0.7,11.0,24.0,3.9,2.8,6.7,0.146,1.3,-0.2,1.1,1.7,
87,84.0,Randy Smith,32.0,CLE,SG,82.0,,2199.0,17.0,0.514,0.027,0.26,2.2,7.8,4.9,23.9,2.4,0.4,14.4,24.8,2.1,1.3,3.3,0.073,1.0,-0.5,0.5,1.4,
88,85.0,Jeff Cook,24.0,PHO,SF,79.0,,2192.0,11.2,0.491,0.008,0.252,8.7,14.7,11.7,11.8,1.7,1.4,17.6,14.8,0.6,3.8,4.5,0.098,-1.5,1.2,-0.3,1.0,
89,86.0,Scott Lloyd,28.0,DAL,C,72.0,,2186.0,9.3,0.5,0.004,0.375,8.1,15.8,11.8,10.4,0.8,0.7,18.5,15.0,0.2,0.7,1.0,0.021,-2.6,-1.1,-3.7,-0.9,
90,87.0,Walter Davis,26.0,PHO,SG,78.0,,2182.0,18.4,0.579,0.015,0.227,3.2,6.8,5.1,21.8,2.0,0.3,15.5,25.6,4.0,3.2,7.1,0.157,1.8,0.1,1.9,2.1,"MVP-24,AS"
91,88.0,Billy McKinney,25.0,2TM,PG,84.0,,2166.0,13.3,0.562,0.019,0.291,1.7,7.4,4.6,22.2,2.1,0.3,17.8,16.1,2.6,0.8,3.4,0.075,-1.0,-0.4,-1.4,0.3,
92,88.0,Billy McKinney,25.0,UTA,PG,35.0,,1032.0,11.0,0.576,0.009,0.206,1.3,6.8,4.1,21.0,1.8,0.2,21.6,13.5,0.8,0.3,1.1,0.051,-2.0,-0.7,-2.7,-0.2,
93,88.0,Billy McKinney,25.0,DEN,PG,49.0,,1134.0,15.5,0.554,0.024,0.34,2.1,7.9,4.9,23.3,2.4,0.3,15.7,18.4,1.8,0.5,2.3,0.098,0.0,-0.2,-0.2,0.5,
94,89.0,Maurice Lucas,28.0,NJN,PF,68.0,,2162.0,14.6,0.528,0.002,0.304,7.8,22.5,15.0,11.6,1.2,1.5,15.7,20.5,1.2,2.3,3.5,0.078,-0.8,-0.1,-0.9,0.6,
95,90.0,Larry Kenon,28.0,CHI,SF,77.0,,2161.0,15.2,0.516,0.0,0.259,9.9,11.1,10.5,8.4,1.7,0.5,13.3,22.9,2.4,1.8,4.1,0.092,0.4,-1.6,-1.1,0.5,
96,91.0,Lionel Hollins,27.0,PHI,PG,82.0,13.0,2154.0,11.0,0.506,0.022,0.246,2.6,6.8,4.8,21.4,2.2,0.5,21.2,18.3,-0.3,3.1,2.9,0.064,-2.2,0.6,-1.6,0.2,
97,92.0,Dan Roundfield,27.0,ATL,PF,63.0,,2128.0,20.7,0.575,0.001,0.439,12.3,22.0,17.1,12.1,1.7,3.3,15.6,22.3,4.2,2.8,7.0,0.159,2.3,0.8,3.1,2.7,"AS,DEF2"
98,93.0,Kermit Washington,29.0,POR,PF,73.0,,2120.0,17.4,0.596,0.002,0.504,12.1,23.2,17.6,8.9,1.9,2.2,17.1,15.7,3.6,3.1,6.8,0.153,0.9,0.7,1.7,2.0,DEF2
