,Player,Team,G,Par,Stocks,eFG%,PER,TS%,WS,BPM,VORP,Team_Win%,Team_G,Year
260,Bogdan Bogdanović,Los Angeles Clippers,18.0,13.3,0.7,0.465,8.3,0.5,0.1,-3.7,-0.2,0.4921,63.0,2026
261,Brook Lopez,Los Angeles Clippers,56.0,11.9,1.6,0.518,11.5,0.54,1.2,-1.4,0.2,0.4921,63.0,2026
262,Grant Williams,Charlotte Hornets,22.0,13.8,0.7,0.585,14.5,0.629,1.4,2.1,0.5,0.4923,65.0,2026
263,Jose Alvarado,New York Knicks,54.0,13.4,1.1,0.529,11.8,0.544,1.6,-1.3,0.2,0.6308,65.0,2026
264,Bruce Brown,Denver Nuggets,64.0,13.8,1.3,0.514,10.4,0.546,2.1,-2.7,-0.3,0.6094,64.0,2026
265,Javon Small,Memphis Grizzlies,28.0,13.9,1.0,0.521,15.2,0.572,1.2,0.3,0.3,0.371,62.0,2026
266,Vince Williams Jr.,Utah Jazz,40.0,15.6,1.1,0.447,10.8,0.478,0.4,-1.0,0.2,0.2969,64.0,2026
267,Daniss Jenkins,Detroit Pistons,54.0,12.2,1.0,0.466,12.2,0.504,1.4,-1.6,0.1,0.7143,63.0,2026
268,Nikola Jović,Miami Heat,45.0,13.1,1.0,0.443,9.8,0.485,0.2,-3.0,-0.2,0.5538,65.0,2026
269,Terance Mann,Brooklyn Nets,55.0,13.9,1.0,0.536,10.8,0.57,1.9,-3.0,-0.3,0.254,63.0,2026
270,Quinten Post,Golden State Warriors,61.0,13.0,0.9,0.543,13.0,0.558,1.9,-0.9,0.3,0.5079,63.0,2026
271,Gary Trent Jr.,Milwaukee Bucks,55.0,9.8,0.6,0.509,7.8,0.528,0.2,-5.2,-0.9,0.4286,63.0,2026
272,Daeqwon Plowden,Sacramento Kings,16.0,11.5,0.7,0.481,9.2,0.52,0.2,-5.8,-0.3,0.2308,65.0,2026
273,Nique Clifford,Sacramento Kings,61.0,12.7,1.2,0.469,8.5,0.492,-0.6,-5.1,-1.1,0.2308,65.0,2026
274,Sharife Cooper,Washington Wizards,22.0,11.9,0.4,0.562,12.7,0.594,0.2,-4.8,-0.2,0.254,63.0,2026
275,Luka Garza,Boston Celtics,54.0,12.1,0.8,0.647,19.8,0.677,3.9,2.3,0.9,0.6719,64.0,2026
276,Caris LeVert,Detroit Pistons,45.0,11.6,1.5,0.496,10.7,0.521,1.2,-0.6,0.3,0.7143,63.0,2026
277,Gui Santos,Golden State Warriors,52.0,12.6,1.2,0.605,14.2,0.619,2.0,0.3,0.5,0.5079,63.0,2026
278,Julian Strawther,Denver Nuggets,41.0,10.4,0.6,0.537,11.8,0.576,0.8,-3.0,-0.2,0.6094,64.0,2026
279,Kyle Anderson,Minnesota Timberwolves,26.0,12.9,1.6,0.576,14.1,0.604,1.1,-0.5,0.2,0.625,64.0,2026
280,Walter Clayton,Memphis Grizzlies,55.0,12.9,1.0,0.463,10.5,0.521,0.5,-3.9,-0.5,0.371,62.0,2026
281,Bones Hyland,Minnesota Timberwolves,55.0,11.3,0.7,0.569,14.5,0.587,2.1,0.7,0.6,0.625,64.0,2026
282,Jaylin Williams,Oklahoma City Thunder,50.0,15.1,1.2,0.531,13.1,0.572,2.9,1.9,1.0,0.7692,65.0,2026
283,Seth Curry,Golden State Warriors,2.0,10.5,1.0,0.778,18.8,0.778,0.1,5.3,0.1,0.5079,63.0,2026
284,Jaxson Hayes,Los Angeles Lakers,54.0,11.9,1.0,0.757,17.7,0.758,3.8,0.5,0.6,0.6094,64.0,2026
285,Lawson Lovering,Memphis Grizzlies,2.0,16.0,2.0,0.6,13.7,0.574,0.1,-3.7,0.0,0.371,62.0,2026
286,Will Richard,Golden State Warriors,54.0,10.9,1.3,0.584,12.5,0.61,2.4,-0.6,0.4,0.5079,63.0,2026
287,Kobe Sanders,Los Angeles Clippers,53.0,11.0,0.7,0.55,8.7,0.577,0.7,-3.9,-0.5,0.4921,63.0,2026
288,Patrick Williams,Chicago Bulls,56.0,11.3,0.9,0.494,8.9,0.512,0.2,-4.0,-0.6,0.4062,64.0,2026
289,Tyrese Martin,Philadelphia 76ers,41.0,11.5,0.6,0.491,10.6,0.505,0.2,-3.3,-0.2,0.5397,63.0,2026
290,Paul Reed,Detroit Pistons,46.0,12.5,1.7,0.622,23.2,0.634,2.8,4.6,1.0,0.7143,63.0,2026
291,Ben Sheppard,Indiana Pacers,53.0,11.8,0.7,0.519,9.2,0.539,1.0,-3.4,-0.4,0.2344,64.0,2026
