,Player,Team,G,Par,Stocks,eFG%,PER,TS%,WS,BPM,VORP,Team_Win%,Team_G,Share,Games_Played_PCT,Year
283,Nicolò Melli,New Orleans Pelicans,60.0,11.0,1.0,0.528,11.4,0.556,1.8,-1.3,0.2,0.4167,72.0,0,0.8333,2020
285,T.J. McConnell,Indiana Pacers,71.0,14.2,1.0,0.522,16.5,0.54,3.3,0.5,0.8,0.6164,73.0,0,0.9726,2020
288,Cory Joseph,Sacramento Kings,72.0,12.5,1.0,0.483,10.1,0.517,2.3,-2.0,0.0,0.4306,72.0,0,1.0,2020
289,Kevin Knox,New York Knicks,65.0,10.1,0.8,0.44,8.3,0.47,0.2,-4.2,-0.7,0.3182,66.0,0,0.9848,2020
290,Trey Lyles,San Antonio Spurs,63.0,13.2,0.8,0.541,12.6,0.557,2.2,-1.2,0.3,0.4507,71.0,0,0.8873,2020
293,Lonnie Walker IV,San Antonio Spurs,61.0,9.8,0.7,0.483,10.5,0.507,0.3,-3.5,-0.4,0.4507,71.0,0,0.8592,2020
294,Marco Belinelli,San Antonio Spurs,57.0,9.2,0.2,0.498,10.8,0.532,0.8,-2.7,-0.2,0.4507,71.0,0,0.8028,2020
295,Frank Jackson,New Orleans Pelicans,59.0,8.7,0.4,0.476,9.1,0.51,0.2,-5.5,-0.7,0.4167,72.0,0,0.8194,2020
297,Frank Ntilikina,New York Knicks,57.0,11.4,1.2,0.459,9.8,0.497,0.9,-3.2,-0.4,0.3182,66.0,0,0.8636,2020
298,Royce O'Neale,Utah Jazz,71.0,14.3,1.3,0.559,9.5,0.578,4.3,0.9,1.5,0.6111,72.0,0,0.9861,2020
300,Taj Gibson,New York Knicks,62.0,11.2,0.9,0.591,16.1,0.61,2.6,-1.1,0.2,0.3182,66.0,0,0.9394,2020
309,Mike Scott,Philadelphia 76ers,68.0,10.4,0.4,0.54,11.2,0.557,2.5,-1.8,0.1,0.589,73.0,0,0.9315,2020
310,Marvin Williams,Milwaukee Bucks,58.0,10.1,1.1,0.551,11.2,0.587,2.4,-0.6,0.4,0.7671,73.0,0,0.7945,2020
312,Georges Niang,Utah Jazz,66.0,8.5,0.4,0.578,11.7,0.589,1.8,-0.1,0.4,0.6111,72.0,0,0.9167,2020
314,Maurice Harkless,New York Knicks,62.0,10.8,1.4,0.562,9.8,0.572,2.7,-0.7,0.5,0.3182,66.0,0,0.9394,2020
315,Kyle Anderson,Memphis Grizzlies,67.0,12.5,1.4,0.511,12.5,0.534,2.5,0.5,0.9,0.4658,73.0,0,0.9178,2020
325,Darius Bazley,Oklahoma City Thunder,61.0,10.3,1.1,0.472,9.6,0.497,1.0,-1.6,0.1,0.6111,72.0,0,0.8472,2020
326,Damian Jones,Atlanta Hawks,55.0,9.9,1.2,0.685,15.6,0.712,2.8,-1.5,0.1,0.2985,67.0,0,0.8209,2020
328,Jakob Poeltl,San Antonio Spurs,66.0,13.1,2.0,0.624,19.1,0.612,4.0,2.5,1.3,0.4507,71.0,0,0.9296,2020
330,Solomon Hill,Miami Heat,59.0,10.1,0.9,0.509,9.8,0.535,1.4,-1.7,0.1,0.6027,73.0,0,0.8082,2020
331,Alex Caruso,Los Angeles Lakers,64.0,9.3,1.4,0.481,10.8,0.525,2.3,-0.2,0.5,0.7324,71.0,0,0.9014,2020
332,Justin Jackson,Dallas Mavericks,65.0,8.7,0.4,0.466,9.5,0.496,1.2,-3.4,-0.4,0.5733,75.0,0,0.8667,2020
334,Mo Bamba,Orlando Magic,62.0,11.0,1.8,0.526,17.5,0.542,2.5,0.4,0.5,0.4521,73.0,0,0.8493,2020
335,Pat Connaughton,Milwaukee Bucks,67.0,11.2,0.9,0.547,11.5,0.565,3.4,0.6,0.8,0.7671,73.0,0,0.9178,2020
336,Torrey Craig,Denver Nuggets,58.0,9.5,1.0,0.545,10.8,0.553,2.0,-2.3,-0.1,0.6301,73.0,0,0.7945,2020
337,Robin Lopez,Milwaukee Bucks,66.0,8.5,0.9,0.55,10.2,0.554,1.5,-2.6,-0.2,0.7671,73.0,0,0.9041,2020
