,Player,Team,G,Par,Stocks,eFG%,MP,PER,TS%,WS,BPM,VORP,Team_Win%,Team_G,Share,Games_Played_PCT,Year
70,Michael Adams,Denver Nuggets,79.0,24.6,1.5,0.482,2690.0,15.4,0.542,6.9,1.8,2.6,0.5244,82.0,0,0.9634,1990
71,Byron Scott,Los Angeles Lakers,77.0,22.2,1.4,0.516,2593.0,14.3,0.546,6.0,0.6,1.7,0.7683,82.0,0,0.939,1990
72,Rik Smits,Indiana Pacers,82.0,23.4,2.6,0.533,2404.0,18.1,0.579,6.6,0.7,1.6,0.5122,82.0,0,1.0,1990
74,Jay Humphries,Milwaukee Bucks,81.0,24.4,2.0,0.504,2818.0,16.4,0.547,7.6,1.4,2.4,0.5366,82.0,0,0.9878,1990
76,Buck Johnson,Houston Rockets,82.0,22.5,2.1,0.496,2832.0,12.9,0.534,6.2,-0.6,1.0,0.5,82.0,0,1.0,1990
77,Chris Morris,New Jersey Nets,80.0,21.9,2.6,0.45,2449.0,14.8,0.493,3.2,0.6,1.6,0.2073,82.0,0,0.9756,1990
78,Sam Bowie,New Jersey Nets,68.0,26.1,2.4,0.422,2207.0,16.2,0.499,4.7,-1.1,0.5,0.2073,82.0,0,0.8293,1990
79,Tyrone Corbin,Minnesota Timberwolves,82.0,24.7,2.6,0.481,3011.0,15.9,0.512,6.8,0.9,2.2,0.2683,82.0,0,1.0,1990
81,Tim Hardaway,Golden State Warriors,79.0,27.3,2.3,0.483,2663.0,16.0,0.525,3.3,-0.2,1.2,0.4512,82.0,0,0.9634,1990
82,Charles Oakley,New York Knicks,61.0,28.9,1.3,0.524,2196.0,15.9,0.58,6.0,-0.3,0.9,0.5488,82.0,0,0.7439,1990
83,James Edwards,Detroit Pistons,82.0,19.5,0.8,0.498,2283.0,13.3,0.549,5.6,-1.7,0.1,0.7195,82.0,0,1.0,1990
84,Gerald Wilkins,New York Knicks,82.0,23.0,1.5,0.476,2609.0,14.3,0.52,4.4,-0.3,1.1,0.5488,82.0,0,1.0,1990
85,Johnny Dawkins,Philadelphia 76ers,81.0,24.7,1.6,0.501,2865.0,16.0,0.549,6.4,0.8,2.0,0.6463,82.0,0,0.9878,1990
86,Sherman Douglas,Miami Heat,81.0,24.4,1.9,0.496,2470.0,17.0,0.534,4.4,1.4,2.1,0.2195,82.0,0,0.9878,1990
