,Unnamed: 0,Player,Team,G,Par,Stocks,eFG%,MP,PER,TS%,WS,BPM,VORP,Team_Win%,Team_G,Share,Games_Played_PCT,Year
52,66,Dave Cowens,Boston Celtics,66.0,25.4,1.9,0.453,2159.0,14.8,0.477,5.4,0.9,1.6,0.7439,82.0,0.0,0.8049,1980
53,68,Ricky Sobers,Chicago Bulls,82.0,22.4,1.9,0.48,2673.0,12.5,0.524,2.4,-1.9,0.1,0.3659,82.0,0.0,1.0,1980
54,70,Tiny Archibald,Boston Celtics,80.0,25.0,1.4,0.485,2864.0,15.3,0.574,8.9,1.1,2.3,0.7439,82.0,0.009,0.9756,1980
55,72,Terry Furlow,Utah Jazz,76.0,20.4,1.3,0.477,2122.0,16.0,0.521,2.8,-0.2,1.0,0.2927,82.0,0.0,0.9268,1980
56,75,Bob Wilkerson,Denver Nuggets,75.0,21.2,1.6,0.421,2381.0,10.9,0.458,0.2,-3.8,-1.1,0.3659,82.0,0.0,0.9146,1980
57,78,Lonnie Shelton,Seattle SuperSonics,76.0,23.2,2.2,0.531,2243.0,16.8,0.57,7.5,1.6,2.0,0.6829,82.0,0.0,0.9268,1980
58,81,Kermit Washington,Portland Trail Blazers,80.0,26.0,2.5,0.553,2657.0,18.2,0.584,9.1,1.9,2.6,0.4634,82.0,0.0,0.9756,1980
59,82,Eddie Jordan,New Jersey Nets,82.0,23.4,3.0,0.436,2657.0,14.4,0.481,4.1,0.6,1.8,0.4146,82.0,0.0,1.0,1980
60,84,Bobby Jones,Philadelphia 76ers,81.0,20.4,2.8,0.532,2125.0,18.5,0.59,8.1,3.3,2.8,0.7195,82.0,0.0,0.9878,1980
61,85,Robert Reid,Houston Rockets,76.0,22.0,2.5,0.487,2304.0,15.3,0.52,4.9,1.4,2.0,0.5,82.0,0.0,0.9268,1980
62,86,John Lucas,Golden State Warriors,80.0,22.9,1.7,0.475,2763.0,15.3,0.528,5.9,0.4,1.7,0.2927,82.0,0.0,0.9756,1980
63,87,Ron Boone,Utah Jazz,81.0,19.0,1.2,0.453,2392.0,12.1,0.501,1.0,-3.5,-1.0,0.2927,82.0,0.0,0.9878,1980
64,89,Terry Tyler,Detroit Pistons,82.0,21.5,4.0,0.466,2670.0,14.2,0.499,3.4,-0.3,1.2,0.1951,82.0,0.0,1.0,1980
65,90,Dave Meyers,Milwaukee Bucks,79.0,20.6,1.4,0.481,2204.0,13.3,0.509,3.9,-0.8,0.7,0.5976,82.0,0.0,0.9634,1980
66,94,Mike Bantom,Indiana Pacers,77.0,21.3,1.7,0.506,2330.0,13.7,0.533,3.9,-0.7,0.7,0.4512,82.0,0.0,0.939,1980
67,96,Allan Bristow,Utah Jazz,82.0,22.0,1.2,0.482,2304.0,16.6,0.534,4.4,0.6,1.5,0.2927,82.0,0.0,1.0,1980
68,100,Tom Boswell,Utah Jazz,79.0,19.0,0.9,0.569,2077.0,14.3,0.616,3.7,-1.8,0.1,0.2927,82.0,0.0,0.9634,1980
69,101,Maurice Cheeks,Philadelphia 76ers,79.0,21.9,2.7,0.543,2623.0,15.9,0.589,7.9,2.4,2.9,0.7195,82.0,0.0,0.9634,1980
70,103,John Roche,Denver Nuggets,82.0,17.7,1.1,0.511,2286.0,13.9,0.562,4.2,-1.0,0.6,0.3659,82.0,0.0,1.0,1980
71,106,John Johnson,Seattle SuperSonics,81.0,21.8,1.3,0.488,2533.0,13.3,0.532,4.9,0.3,1.5,0.6829,82.0,0.0,0.9878,1980
72,108,Chris Ford,Boston Celtics,73.0,16.6,1.9,0.515,2115.0,13.0,0.537,5.6,2.0,2.1,0.7439,82.0,0.0,0.8902,1980
73,111,Allen Leavell,Houston Rockets,77.0,18.7,2.0,0.505,2123.0,15.1,0.56,4.0,1.1,1.7,0.5,82.0,0.0,0.939,1980
74,114,Jim Chones,Los Angeles Lakers,82.0,19.3,1.5,0.489,2394.0,11.3,0.521,3.5,-2.4,-0.2,0.7317,82.0,0.0,1.0,1980
75,115,Mark Olberding,San Antonio Spurs,75.0,20.6,1.2,0.478,2111.0,12.4,0.546,3.1,-1.0,0.5,0.5,82.0,0.0,0.9146,1980
76,118,Jo Jo White,Golden State Warriors,78.0,15.3,1.3,0.477,2052.0,11.2,0.509,1.5,-2.4,-0.2,0.2927,82.0,0.0,0.9512,1980
77,120,Wes Unseld,Washington Bullets,82.0,27.5,1.5,0.514,2973.0,15.4,0.545,8.4,2.5,3.3,0.4756,82.0,0.0,1.0,1980
78,123,Foots Walker,Cleveland Cavaliers,76.0,21.2,2.2,0.455,2422.0,15.3,0.527,6.1,1.9,2.4,0.4512,82.0,0.0,0.9268,1980
79,130,Billy Paultz,Houston Rockets,84.0,18.3,1.8,0.486,2193.0,13.9,0.507,4.0,0.3,1.3,0.5,82.0,0.0,1.0244,1980
80,133,Henry Bibby,Philadelphia 76ers,82.0,15.2,0.9,0.41,2035.0,11.1,0.491,3.4,-2.2,-0.1,0.7195,82.0,0.0,1.0,1980
81,138,Ben Poquette,Utah Jazz,82.0,17.3,2.5,0.523,2349.0,14.0,0.572,4.9,-0.1,1.1,0.2927,82.0,0.0,1.0,1980
82,139,Tree Rollins,Atlanta Hawks,82.0,19.2,3.7,0.558,2123.0,18.9,0.598,9.2,4.0,3.2,0.6098,82.0,0.0,1.0,1980
83,149,Dudley Bradley,Indiana Pacers,82.0,14.2,3.2,0.453,2027.0,13.5,0.502,3.1,1.0,1.5,0.4512,82.0,0.0,1.0,1980
84,155,Don Buse,Phoenix Suns,81.0,14.6,1.7,0.459,2499.0,10.7,0.485,4.6,0.2,1.4,0.6707,82.0,0.0,0.9878,1980
85,160,Caldwell Jones,Philadelphia 76ers,80.0,21.4,2.5,0.436,2771.0,9.7,0.482,3.9,-1.6,0.2,0.7195,82.0,0.0,0.9756,1980
86,173,Jan van Breda Kolff,New Jersey Nets,82.0,15.0,2.1,0.471,2399.0,9.5,0.533,3.9,-0.4,1.0,0.4146,82.0,0.0,1.0,1980
87,185,Armond Hill,Atlanta Hawks,79.0,13.2,1.5,0.412,2092.0,9.2,0.484,2.5,-2.0,0.0,0.6098,82.0,0.0,0.9634,1980
0,0,Adrian Dantley,Utah Jazz,80.0,41.1,1.6,0.559,3417.0,24.3,0.622,13.6,4.3,5.4,0.3415,82.0,0.022,0.9756,1981
1,1,Moses Malone,Houston Rockets,80.0,44.4,2.9,0.522,3245.0,25.1,0.585,13.7,3.3,4.3,0.4878,82.0,0.261,0.9756,1981
2,2,George Gervin,San Antonio Spurs,82.0,35.4,1.8,0.494,2765.0,22.9,0.555,10.5,2.9,3.5,0.6341,82.0,0.12,1.0,1981
3,3,Kareem Abdul-Jabbar,Los Angeles Lakers,80.0,39.9,3.6,0.574,2976.0,25.5,0.616,14.3,6.1,6.1,0.6585,82.0,0.414,0.9756,1981
4,4,David Thompson,Denver Nuggets,77.0,32.2,1.5,0.509,2620.0,19.4,0.571,6.4,0.9,1.9,0.4512,82.0,0.0,0.939,1981
5,6,Julius Erving,Philadelphia 76ers,82.0,37.0,3.9,0.522,2874.0,25.1,0.572,13.8,7.5,6.9,0.7561,82.0,0.658,1.0,1981
6,7,Mike Mitchell,Cleveland Cavaliers,82.0,32.3,1.4,0.477,3194.0,17.5,0.513,6.0,-0.3,1.3,0.3415,82.0,0.004,1.0,1981
7,8,World B. Free,Golden State Warriors,65.0,32.1,1.5,0.448,2370.0,19.5,0.542,7.4,1.5,2.1,0.4756,82.0,0.0,0.7927,1981
8,9,Alex English,Denver Nuggets,81.0,35.4,2.5,0.495,3093.0,19.7,0.549,8.3,2.2,3.2,0.4512,82.0,0.0,0.9878,1981
9,10,Jamaal Wilkes,Los Angeles Lakers,81.0,30.9,1.9,0.526,3028.0,18.0,0.556,8.5,0.5,1.9,0.6585,82.0,0.028,0.9878,1981
10,11,Dan Issel,Denver Nuggets,80.0,32.4,1.7,0.504,2641.0,21.7,0.575,10.5,2.7,3.1,0.4512,82.0,0.0,0.9756,1981
11,12,Bernard King,Golden State Warriors,81.0,32.2,1.3,0.588,2914.0,19.9,0.617,9.1,2.8,3.6,0.4756,82.0,0.017,0.9878,1981
12,13,John Drew,Atlanta Hawks,67.0,28.6,1.7,0.456,2075.0,19.2,0.539,5.4,-0.3,0.9,0.378,82.0,0.0,0.8171,1981
13,15,Mike Newlin,New Jersey Nets,79.0,28.0,1.2,0.501,2911.0,15.6,0.571,6.1,-0.8,0.9,0.2927,82.0,0.0,0.9634,1981
14,16,Larry Bird,Boston Celtics,82.0,37.6,2.8,0.485,3239.0,19.9,0.528,10.8,4.3,5.2,0.7561,82.0,0.613,1.0,1981
15,17,Darrell Griffith,Utah Jazz,81.0,26.6,1.8,0.467,2867.0,14.7,0.496,0.4,-3.2,-0.9,0.3415,82.0,0.0,0.9878,1981
16,18,Marques Johnson,Milwaukee Bucks,76.0,31.7,2.0,0.552,2542.0,22.0,0.583,11.2,5.6,4.9,0.7317,82.0,0.106,0.9268,1981
17,19,Bill Cartwright,New York Knicks,82.0,29.0,1.6,0.554,2925.0,18.4,0.611,10.0,1.1,2.3,0.6098,82.0,0.0,1.0,1981
18,20,Ray Williams,New York Knicks,79.0,29.3,2.8,0.467,2742.0,19.0,0.519,7.2,3.0,3.5,0.6098,82.0,0.0,0.9634,1981
19,23,Eddie Johnson,Atlanta Hawks,75.0,26.9,1.8,0.507,2693.0,17.9,0.554,6.9,1.6,2.4,0.378,82.0,0.0,0.9146,1981
20,25,Joe Barry Carroll,Golden State Warriors,82.0,29.6,2.1,0.491,2919.0,16.4,0.534,5.7,-1.3,0.5,0.4756,82.0,0.0,1.0,1981
21,26,Robert Parish,Boston Celtics,82.0,30.2,3.6,0.545,2298.0,25.2,0.579,10.9,5.4,4.3,0.7561,82.0,0.077,1.0,1981
22,27,Reggie Theus,Chicago Bulls,82.0,27.6,1.7,0.503,2820.0,18.4,0.578,9.2,1.8,2.7,0.5488,82.0,0.009,1.0,1981
23,28,Dennis Johnson,Phoenix Suns,79.0,27.1,2.5,0.441,2615.0,17.0,0.516,8.4,1.8,2.5,0.6951,82.0,0.072,0.9634,1981
24,29,Truck Robinson,Phoenix Suns,82.0,30.9,1.3,0.505,3088.0,14.9,0.531,7.6,-0.7,1.0,0.6951,82.0,0.009,1.0,1981
25,30,Jack Sikma,Seattle SuperSonics,82.0,32.1,2.1,0.454,2920.0,18.0,0.512,8.0,1.4,2.5,0.4146,82.0,0.016,1.0,1981
26,31,Walter Davis,Phoenix Suns,78.0,24.5,1.4,0.542,2182.0,18.4,0.579,7.1,1.9,2.1,0.6951,82.0,0.004,0.9512,1981
27,32,Artis Gilmore,Chicago Bulls,82.0,30.1,3.0,0.67,2832.0,21.7,0.699,12.3,4.3,4.5,0.5488,82.0,0.006,1.0,1981
28,33,Elvin Hayes,Washington Bullets,81.0,28.7,2.9,0.451,2931.0,14.9,0.483,5.1,-1.1,0.7,0.4756,82.0,0.0,0.9878,1981
29,35,James Silas,San Antonio Spurs,75.0,24.6,0.9,0.477,2055.0,19.4,0.557,7.0,1.0,1.6,0.6341,82.0,0.004,0.9146,1981
30,36,Dan Roundfield,Atlanta Hawks,63.0,30.3,3.1,0.527,2128.0,20.7,0.575,7.0,3.1,2.7,0.378,82.0,0.0,0.7683,1981
31,38,Billy Knight,Indiana Pacers,82.0,24.4,1.1,0.534,2385.0,19.9,0.596,8.4,2.2,2.5,0.5366,82.0,0.0,1.0,1981
32,39,Kevin Grevey,Washington Bullets,75.0,24.1,1.1,0.474,2616.0,14.5,0.524,5.8,0.6,1.7,0.4756,82.0,0.0,0.9146,1981
33,40,Norm Nixon,Los Angeles Lakers,79.0,28.8,1.9,0.477,2962.0,15.5,0.511,5.5,-0.6,1.0,0.6585,82.0,0.007,0.9634,1981
34,41,Jim Paxson,Portland Trail Blazers,79.0,23.6,1.9,0.537,2701.0,16.9,0.564,7.7,1.4,2.3,0.5488,82.0,0.0,0.9634,1981
35,42,Mychal Thompson,Portland Trail Blazers,79.0,29.3,3.0,0.494,2790.0,16.6,0.52,5.3,0.9,2.1,0.5488,82.0,0.0,0.9634,1981
